time_unix,monotonic,target_heading_rad,heading_error_rad,source_angle_deg,source_angle_error_deg
1778258955.344,904.300,0.0,0.0,0.0,0.0
1778258955.845,904.801,0.0,0.0,0.0,0.0
1778258956.347,905.303,0.0,0.0,0.0,0.0
1778258956.848,905.804,0.0,0.0,0.0,0.0
1778258957.350,906.306,0.0,0.0,0.0,0.0
1778258957.851,906.807,0.0,0.0,0.0,0.0
1778258958.353,907.309,0.0,0.0,0.0,0.0
1778258958.854,907.810,0.0,0.0,0.0,0.0
1778258959.356,908.312,0.0,0.0,0.0,0.0
1778258959.857,908.813,0.0,0.0,0.0,0.0
1778258960.359,909.314,0.0,0.0,0.0,0.0
1778258960.860,909.816,0.0,0.0,0.0,0.0
1778258961.361,910.317,0.0,0.0,0.0,0.0
1778258961.863,910.819,0.0,0.0,0.0,0.0
1778258962.364,911.320,0.0,0.0,0.0,0.0
1778258962.866,911.822,0.0,0.0,0.0,0.0
1778258963.367,912.323,0.0,0.0,0.0,0.0
1778258963.869,912.825,0.0,0.0,0.0,0.0
1778258964.370,913.326,0.0,0.0,0.0,0.0
1778258964.872,913.828,0.0,0.0,0.0,0.0
1778258965.374,914.330,0.0,0.0,0.0,0.0
1778258965.875,914.831,0.0,0.0,0.0,0.0
1778258966.377,915.333,0.0,0.0,0.0,0.0
1778258966.878,915.834,0.0,0.0,0.0,0.0
1778258967.380,916.336,0.0,0.0,0.0,0.0
1778258967.882,916.838,0.0,0.0,0.0,0.0
1778258968.383,917.339,0.0,0.0,0.0,0.0
1778258968.885,917.841,0.0,0.0,0.0,0.0
1778258969.386,918.342,0.0,0.0,0.0,0.0
1778258969.887,918.843,0.0,0.0,0.0,0.0
1778258970.389,919.345,0.0,0.0,0.0,0.0
1778258970.891,919.847,0.0,0.0,0.0,0.0
1778258971.342,920.298,0.0,0.0,0.0,0.0
1778258971.843,920.799,0.0,0.0,0.0,0.0
1778258972.345,921.301,0.0,0.0,0.0,0.0
1778258972.847,921.803,0.0,0.0,0.0,0.0
1778258973.348,922.304,0.0,0.0,0.0,0.0
1778258973.850,922.806,0.0,0.0,0.0,0.0
1778258974.352,923.308,0.0,0.0,0.0,0.0
1778258974.853,923.809,0.0,0.0,0.0,0.0
1778258975.355,924.311,0.0,0.0,0.0,0.0
1778258975.857,924.813,0.0,0.0,0.0,0.0
1778258976.358,925.314,0.0,0.0,0.0,0.0
1778258976.859,925.815,0.0,0.0,0.0,0.0
1778258977.361,926.317,0.0,0.0,0.0,0.0
1778258977.863,926.819,0.0,0.0,0.0,0.0
1778258978.365,927.321,0.0,0.0,0.0,0.0
1778258978.867,927.823,0.0,0.0,0.0,0.0
1778258979.368,928.324,0.0,0.0,0.0,0.0
1778258979.870,928.826,0.0,0.0,0.0,0.0
1778258980.371,929.327,0.0,0.0,0.0,0.0
1778258980.873,929.829,0.0,0.0,0.0,0.0
1778258981.375,930.331,0.0,0.0,0.0,0.0
1778258981.876,930.832,0.0,0.0,0.0,0.0
1778258982.378,931.334,0.0,0.0,0.0,0.0
1778258982.879,931.835,0.0,0.0,0.0,0.0
1778258983.381,932.337,0.0,0.0,0.0,0.0
1778258983.882,932.838,0.0,0.0,0.0,0.0
1778258984.384,933.340,0.0,0.0,0.0,0.0
1778258984.885,933.841,0.0,0.0,0.0,0.0
1778258985.387,934.343,0.0,0.0,0.0,0.0
1778258985.889,934.845,0.0,0.0,0.0,0.0
1778258986.390,935.346,0.0,0.0,0.0,0.0
1778258986.841,935.797,0.0,0.0,0.0,0.0
1778258987.343,936.299,0.0,0.0,0.0,0.0
1778258987.844,936.800,0.0,0.0,0.0,0.0
1778258988.346,937.302,0.0,0.0,0.0,0.0
1778258988.847,937.803,0.0,0.0,0.0,0.0
1778258989.349,938.305,0.0,0.0,0.0,0.0
1778258989.850,938.806,0.0,0.0,0.0,0.0
1778258990.352,939.308,0.0,0.0,0.0,0.0
1778258990.853,939.809,0.0,0.0,0.0,0.0
1778258991.355,940.311,0.0,0.0,0.0,0.0
1778258991.856,940.812,0.0,0.0,0.0,0.0
1778258992.358,941.314,0.0,0.0,0.0,0.0
1778258992.859,941.815,0.0,0.0,0.0,0.0
1778258993.361,942.317,0.0,0.0,0.0,0.0
1778258993.862,942.818,0.0,0.0,0.0,0.0
1778258994.364,943.320,0.0,0.0,0.0,0.0
1778258994.866,943.822,0.0,0.0,0.0,0.0
1778258995.367,944.323,0.0,0.0,0.0,0.0
