time_unix,monotonic,data_rate,tx_power,channel
1778617683.719,7980.728,2,2,0
1778617688.735,7985.744,2,2,0
1778617693.750,7990.759,2,2,0
1778617698.714,7995.723,2,2,0
1778617703.729,8000.738,2,2,0
1778617708.744,8005.753,2,2,0
1778617713.709,8010.718,2,2,0
1778617718.724,8015.733,2,2,0
1778617723.739,8020.748,2,2,0
1778617728.754,8025.763,2,2,0
1778617733.719,8030.728,2,2,0
1778617738.734,8035.743,2,2,0
1778617743.749,8040.758,2,2,0
1778617748.713,8045.723,2,2,0
1778617753.729,8050.738,2,2,0
1778617758.743,8055.752,2,2,0
1778617763.758,8060.767,2,2,0
1778617768.726,8065.735,2,2,0
1778617773.742,8070.751,2,2,0
1778617778.757,8075.766,2,2,0
1778617783.721,8080.731,2,2,0
1778617788.737,8085.746,2,2,0
1778617793.752,8090.761,2,2,0
1778617798.717,8095.726,2,2,0
1778617803.732,8100.741,2,2,0
1778617808.747,8105.757,2,2,0
1778617813.713,8110.722,2,2,0
1778617818.727,8115.736,2,2,0
1778617823.743,8120.752,2,2,0
1778617828.758,8125.767,2,2,0
1778617833.723,8130.732,2,2,0
1778617838.738,8135.747,2,2,0
1778617843.754,8140.763,2,2,0
1778617848.719,8145.728,2,2,0
1778617853.734,8150.743,2,2,0
1778617858.751,8155.760,2,2,0
1778617863.716,8160.725,2,2,0
1778617868.731,8165.740,2,2,0
1778617873.746,8170.755,2,2,0
1778617878.711,8175.720,2,2,0
1778617883.726,8180.735,2,2,0
1778617888.741,8185.750,2,2,0
1778617893.757,8190.766,2,2,0
1778617898.722,8195.731,2,2,0
1778617903.737,8200.746,2,2,0
1778617908.753,8205.762,2,2,0
1778617913.718,8210.727,2,2,0
1778617918.733,8215.742,2,2,0
1778617923.748,8220.757,2,2,0
1778617928.713,8225.722,2,2,0
1778617933.728,8230.737,2,2,0
1778617938.744,8235.753,2,2,0
1778617943.759,8240.768,2,2,0
1778617948.725,8245.735,2,2,0
1778617953.741,8250.750,2,2,0
1778617958.756,8255.765,2,2,0
1778617963.722,8260.731,2,2,0
1778617968.737,8265.746,2,2,0
1778617973.752,8270.761,2,2,0
1778617978.717,8275.726,2,2,0
1778617983.732,8280.741,2,2,0
1778617988.748,8285.757,2,2,0
1778617993.713,8290.722,2,2,0
1778617998.728,8295.737,2,2,0
1778618003.743,8300.752,2,2,0
1778618008.759,8305.768,2,2,0
