time_unix,monotonic,data_rate,tx_power,channel
1778618775.792,9072.801,2,2,0
1778618780.807,9077.816,2,2,0
1778618785.822,9082.832,2,2,0
1778618790.788,9087.797,2,2,0
1778618795.803,9092.812,2,2,0
1778618800.818,9097.827,2,2,0
1778618805.783,9102.792,2,2,0
1778618810.798,9107.808,2,2,0
1778618815.814,9112.823,2,2,0
1778618820.829,9117.838,2,2,0
1778618825.794,9122.803,2,2,0
1778618830.809,9127.818,2,2,0
1778618835.824,9132.833,2,2,0
1778618840.789,9137.798,2,2,0
1778618845.804,9142.813,2,2,0
1778618850.819,9147.828,2,2,0
1778618855.784,9152.793,2,2,0
1778618860.799,9157.808,2,2,0
1778618865.815,9162.824,2,2,0
1778618870.830,9167.839,2,2,0
1778618875.795,9172.804,2,2,0
1778618880.810,9177.819,2,2,0
1778618885.825,9182.834,2,2,0
1778618890.789,9187.798,2,2,0
1778618895.805,9192.814,2,2,0
1778618900.820,9197.829,2,2,0
1778618905.785,9202.794,2,2,0
1778618910.800,9207.809,2,2,0
1778618915.816,9212.825,2,2,0
1778618920.830,9217.839,2,2,0
1778618925.795,9222.804,2,2,0
1778618930.810,9227.819,2,2,0
1778618935.825,9232.834,2,2,0
1778618940.790,9237.799,2,2,0
1778618945.805,9242.814,2,2,0
1778618950.820,9247.829,2,2,0
1778618955.785,9252.794,2,2,0
1778618960.800,9257.809,2,2,0
1778618965.815,9262.824,2,2,0
1778618970.830,9267.839,2,2,0
1778618975.796,9272.805,2,2,0
1778618980.811,9277.820,2,2,0
1778618985.826,9282.835,2,2,0
1778618990.790,9287.799,2,2,0
1778618995.806,9292.815,2,2,0
1778619000.820,9297.829,2,2,0
1778619005.785,9302.794,2,2,0
1778619010.801,9307.810,2,2,0
1778619015.815,9312.825,2,2,0
1778619020.831,9317.840,2,2,0
1778619025.796,9322.805,2,2,0
1778619030.814,9327.823,2,2,0
1778619035.830,9332.839,2,2,0
1778619040.795,9337.804,2,2,0
