time_unix,monotonic,active,lat,lon,alt_msl,speed_ms,heading_deg,fix_type,num_sv
1778209894.898,4257.571,1,0.0,0.0,0.0,0.0,0.0,0,0
1778209895.901,4258.574,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209896.904,4259.576,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209897.907,4260.579,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209898.910,4261.582,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209899.913,4262.585,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209900.916,4263.589,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209901.919,4264.591,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209902.922,4265.594,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209903.925,4266.598,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209904.928,4267.600,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209905.931,4268.603,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209906.883,4269.556,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209907.886,4270.558,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209908.889,4271.561,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209909.892,4272.564,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209910.895,4273.567,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209911.898,4274.570,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209912.901,4275.573,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209913.904,4276.576,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209914.907,4277.579,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209915.910,4278.582,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209916.912,4279.585,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209917.915,4280.587,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209918.918,4281.590,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209919.921,4282.593,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209920.924,4283.596,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209921.927,4284.599,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209922.930,4285.602,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209923.882,4286.555,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209924.885,4287.557,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209925.889,4288.561,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209926.892,4289.564,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209927.895,4290.567,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209928.898,4291.570,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209929.901,4292.573,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209930.903,4293.576,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209931.906,4294.578,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209932.909,4295.581,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209933.912,4296.584,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209934.915,4297.587,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778209935.918,4298.590,1,0.0,0.0,-17.0,0.0,0.0,0,0
