time_unix,monotonic,rpm,duty_cycle,motor_current,input_voltage,temperature,fault_code
1778207887.111,2249.783,0.0,0.0,0.0,0.0,0.0,0
1778207887.613,2250.285,0.0,0.0,0.0,0.0,0.0,0
1778207888.114,2250.786,0.0,0.0,0.0,0.0,0.0,0
1778207888.616,2251.288,0.0,0.0,0.0,0.0,0.0,0
1778207889.117,2251.789,0.0,0.0,0.0,0.0,0.0,0
1778207889.618,2252.290,0.0,0.0,0.0,0.0,0.0,0
1778207890.120,2252.792,0.0,0.0,0.0,0.0,0.0,0
1778207890.621,2253.293,0.0,0.0,0.0,0.0,0.0,0
1778207891.123,2253.795,0.0,0.0,0.0,0.0,0.0,0
1778207891.624,2254.296,0.0,0.0,0.0,0.0,0.0,0
1778207892.125,2254.798,0.0,0.0,0.0,0.0,0.0,0
1778207892.627,2255.299,0.0,0.0,0.0,0.0,0.0,0
1778207893.128,2255.800,0.0,0.0,0.0,0.0,0.0,0
1778207893.629,2256.302,0.0,0.0,0.0,0.0,0.0,0
1778207894.131,2256.803,0.0,0.0,0.0,0.0,0.0,0
1778207894.632,2257.304,0.0,0.0,0.0,0.0,0.0,0
1778207895.134,2257.806,0.0,0.0,0.0,0.0,0.0,0
1778207895.635,2258.308,0.0,0.0,0.0,0.0,0.0,0
1778207896.137,2258.809,0.0,0.0,0.0,0.0,0.0,0
1778207896.638,2259.310,0.0,0.0,0.0,0.0,0.0,0
1778207897.140,2259.812,0.0,0.0,0.0,0.0,0.0,0
1778207897.641,2260.314,0.0,0.0,0.0,0.0,0.0,0
1778207898.143,2260.815,0.0,0.0,0.0,0.0,0.0,0
1778207898.645,2261.317,0.0,0.0,0.0,0.0,0.0,0
1778207899.146,2261.818,0.0,0.0,0.0,0.0,0.0,0
1778207899.648,2262.320,0.0,0.0,0.0,0.0,0.0,0
1778207900.151,2262.823,0.0,0.0,0.0,0.0,0.0,0
1778207900.653,2263.325,0.0,0.0,0.0,0.0,0.0,0
1778207901.155,2263.827,0.0,0.0,0.0,0.0,0.0,0
1778207901.656,2264.328,0.0,0.0,0.0,0.0,0.0,0
1778207902.107,2264.780,0.0,0.0,0.0,0.0,0.0,0
1778207902.609,2265.281,0.0,0.0,0.0,0.0,0.0,0
1778207903.111,2265.783,0.0,0.0,0.0,0.0,0.0,0
1778207903.614,2266.286,0.0,0.0,0.0,0.0,0.0,0
1778207904.115,2266.787,0.0,0.0,0.0,0.0,0.0,0
1778207904.618,2267.290,0.0,0.0,0.0,0.0,0.0,0
1778207905.119,2267.792,0.0,0.0,0.0,0.0,0.0,0
1778207905.621,2268.293,0.0,0.0,0.0,0.0,0.0,0
1778207906.123,2268.795,0.0,0.0,0.0,0.0,0.0,0
1778207906.625,2269.297,0.0,0.0,0.0,0.0,0.0,0
1778207907.126,2269.798,0.0,0.0,0.0,0.0,0.0,0
1778207907.628,2270.300,0.0,0.0,0.0,0.0,0.0,0
1778207908.129,2270.802,0.0,0.0,0.0,0.0,0.0,0
1778207908.631,2271.303,0.0,0.0,0.0,0.0,0.0,0
