time_unix,monotonic,flight_stage,arm_state,preflight_ok,arm_checks_ok,launch_initiated,ascent_active,termination_fired,burst_detected,descent_active,landing_detected,cutdown_fired,recovery_active,data_logging_active,apogee_m
1778607219.379,2967.177,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607219.880,2967.679,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607220.382,2968.180,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607220.883,2968.682,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607221.385,2969.183,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607221.886,2969.684,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607222.387,2970.186,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607222.889,2970.687,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607223.391,2971.189,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607223.892,2971.691,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607224.393,2972.192,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607224.895,2972.693,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607225.396,2973.195,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607225.898,2973.696,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607226.399,2974.198,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607226.901,2974.699,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607227.402,2975.201,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607227.903,2975.702,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607228.405,2976.203,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607228.906,2976.705,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607229.408,2977.206,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607229.909,2977.708,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607230.411,2978.209,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607230.912,2978.711,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607231.414,2979.212,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607231.915,2979.714,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607232.417,2980.215,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607232.918,2980.717,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607233.369,2981.168,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607233.871,2981.669,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607234.372,2982.171,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607234.874,2982.672,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607235.375,2983.174,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607235.877,2983.675,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607236.378,2984.177,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607236.880,2984.679,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607237.381,2985.180,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607237.883,2985.681,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607238.384,2986.183,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607238.886,2986.684,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607239.387,2987.186,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607239.888,2987.687,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607240.390,2988.189,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607240.891,2988.690,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607241.393,2989.192,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607241.894,2989.693,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607242.396,2990.194,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607242.897,2990.696,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607243.399,2991.198,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607243.901,2991.699,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607244.402,2992.201,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607244.903,2992.702,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607245.405,2993.203,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607245.906,2993.705,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607246.408,2994.206,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607246.909,2994.708,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607247.411,2995.209,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607247.912,2995.711,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607248.414,2996.212,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607248.915,2996.714,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607249.417,2997.215,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607249.868,2997.667,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607250.370,2998.168,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607250.871,2998.670,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607251.373,2999.171,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607251.874,2999.673,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607252.376,3000.174,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607252.877,3000.676,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607253.379,3001.177,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607253.880,3001.679,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607254.381,3002.180,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607254.883,3002.681,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607255.384,3003.183,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607255.886,3003.684,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607256.387,3004.186,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607256.889,3004.687,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607257.390,3005.189,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607257.892,3005.690,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607258.393,3006.192,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607258.895,3006.693,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607259.396,3007.195,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607259.897,3007.696,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607260.399,3008.197,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607260.900,3008.699,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607261.402,3009.200,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607261.903,3009.702,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607262.405,3010.203,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607262.906,3010.705,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607263.408,3011.206,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607263.909,3011.708,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778607264.411,3012.209,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
