time_unix,monotonic,data_rate,tx_power,channel
1778607223.641,2971.440,2,2,0
1778607228.656,2976.454,1,2,0
1778607233.670,2981.469,1,2,0
1778607238.685,2986.484,1,2,0
1778607243.650,2991.448,1,2,0
1778607248.665,2996.463,1,2,0
1778607253.679,3001.478,1,2,0
1778607258.644,3006.442,1,2,0
1778607263.658,3011.457,1,2,0
1778607268.673,3016.472,1,2,0
1778607273.638,3021.437,1,2,0
1778607278.653,3026.451,1,2,0
1778607283.667,3031.466,1,2,0
1778607288.682,3036.481,1,2,0
1778607293.647,3041.445,1,2,0
1778607298.661,3046.460,1,2,0
1778607303.677,3051.476,1,2,0
