time_unix,monotonic,press_abs,press_diff,temperature,baro_alt,climb,airspeed,groundspeed
1778607219.680,2967.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607220.682,2968.481,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607221.685,2969.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607222.638,2970.437,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607223.641,2971.440,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607224.644,2972.443,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607225.647,2973.446,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607226.650,2974.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607227.653,2975.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607228.656,2976.454,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607229.659,2977.457,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607230.662,2978.460,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607231.665,2979.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607232.667,2980.466,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607233.670,2981.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607234.673,2982.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607235.676,2983.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607236.679,2984.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607237.682,2985.481,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607238.685,2986.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607239.638,2987.436,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607240.641,2988.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607241.644,2989.442,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607242.647,2990.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607243.650,2991.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607244.653,2992.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607245.656,2993.454,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607246.659,2994.457,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607247.662,2995.460,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607248.665,2996.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607249.668,2997.466,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607250.671,2998.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1778607251.674,2999.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
