time_unix,monotonic,active,lat,lon,alt_msl,speed_ms,heading_deg,fix_type,num_sv
1778259026.184,975.140,1,0.0,0.0,0.0,0.0,0.0,0,0
1778259027.187,976.143,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778259028.190,977.146,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778259029.193,978.149,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778259030.196,979.152,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778259031.199,980.155,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778259032.201,981.157,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778259033.204,982.160,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778259034.207,983.163,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778259035.211,984.167,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778259036.214,985.170,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778259037.218,986.174,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778259038.222,987.178,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778259039.175,988.131,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778259040.179,989.134,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778259041.182,990.138,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778259042.185,991.141,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778259043.188,992.144,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778259044.191,993.147,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778259045.195,994.151,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778259046.198,995.154,1,0.0,0.0,-17.0,0.0,0.0,0,0
