time_unix,monotonic,lat,lon,alt,relative_alt,hdg,num_sv
1778621609.602,11906.611,0.0,0.0,0.0,0.0,0.0,0
1778621610.605,11907.614,0.0,0.0,0.0,0.0,0.0,0
1778621611.608,11908.617,0.0,0.0,0.0,0.0,0.0,0
1778621612.611,11909.620,0.0,0.0,0.0,0.0,0.0,0
1778621613.615,11910.624,0.0,0.0,0.0,0.0,0.0,0
1778621614.618,11911.627,0.0,0.0,0.0,0.0,0.0,0
1778621615.621,11912.630,0.0,0.0,0.0,0.0,0.0,0
1778621616.624,11913.633,0.0,0.0,0.0,0.0,0.0,0
1778621617.627,11914.636,0.0,0.0,0.0,0.0,0.0,0
1778621618.580,11915.589,0.0,0.0,0.0,0.0,0.0,0
1778621619.583,11916.592,0.0,0.0,0.0,0.0,0.0,0
1778621620.586,11917.595,0.0,0.0,0.0,0.0,0.0,0
1778621621.589,11918.599,0.0,0.0,0.0,0.0,0.0,0
1778621622.592,11919.601,0.0,0.0,0.0,0.0,0.0,0
1778621623.595,11920.604,0.0,0.0,0.0,0.0,0.0,0
1778621624.598,11921.607,0.0,0.0,0.0,0.0,0.0,0
1778621625.602,11922.611,0.0,0.0,0.0,0.0,0.0,0
1778621626.605,11923.614,0.0,0.0,0.0,0.0,0.0,0
1778621627.608,11924.617,0.0,0.0,0.0,0.0,0.0,0
1778621628.611,11925.620,0.0,0.0,0.0,0.0,0.0,0
1778621629.614,11926.623,0.0,0.0,0.0,0.0,0.0,0
1778621630.617,11927.626,0.0,0.0,0.0,0.0,0.0,0
1778621631.620,11928.629,0.0,0.0,0.0,0.0,0.0,0
