time_unix,monotonic,rpm,duty_cycle,motor_current,input_voltage,temperature,fault_code
1778211688.673,6051.346,0.0,0.0,0.0,0.0,0.0,0
1778211689.175,6051.847,0.0,0.0,0.0,0.0,0.0,0
1778211689.676,6052.349,0.0,0.0,0.0,0.0,0.0,0
1778211690.178,6052.850,0.0,0.0,0.0,0.0,0.0,0
1778211690.679,6053.351,0.0,0.0,0.0,0.0,0.0,0
1778211691.180,6053.853,0.0,0.0,0.0,0.0,0.0,0
1778211691.682,6054.354,0.0,0.0,0.0,0.0,0.0,0
1778211692.184,6054.856,0.0,0.0,0.0,0.0,0.0,0
1778211692.685,6055.357,0.0,0.0,0.0,0.0,0.0,0
1778211693.186,6055.859,0.0,0.0,0.0,0.0,0.0,0
1778211693.688,6056.360,0.0,0.0,0.0,0.0,0.0,0
1778211694.189,6056.862,0.0,0.0,0.0,0.0,0.0,0
1778211694.691,6057.363,0.0,0.0,0.0,0.0,0.0,0
1778211695.192,6057.864,0.0,0.0,0.0,0.0,0.0,0
1778211695.694,6058.366,0.0,0.0,0.0,0.0,0.0,0
1778211696.195,6058.868,0.0,0.0,0.0,0.0,0.0,0
1778211696.697,6059.369,0.0,0.0,0.0,0.0,0.0,0
1778211697.198,6059.871,0.0,0.0,0.0,0.0,0.0,0
1778211697.700,6060.372,0.0,0.0,0.0,0.0,0.0,0
1778211698.201,6060.874,0.0,0.0,0.0,0.0,0.0,0
1778211698.704,6061.376,0.0,0.0,0.0,0.0,0.0,0
1778211699.206,6061.878,0.0,0.0,0.0,0.0,0.0,0
1778211699.707,6062.379,0.0,0.0,0.0,0.0,0.0,0
1778211700.208,6062.881,0.0,0.0,0.0,0.0,0.0,0
1778211700.710,6063.382,0.0,0.0,0.0,0.0,0.0,0
1778211701.211,6063.883,0.0,0.0,0.0,0.0,0.0,0
1778211701.713,6064.385,0.0,0.0,0.0,0.0,0.0,0
1778211702.214,6064.887,0.0,0.0,0.0,0.0,0.0,0
1778211702.716,6065.388,0.0,0.0,0.0,0.0,0.0,0
1778211703.217,6065.890,0.0,0.0,0.0,0.0,0.0,0
1778211703.669,6066.341,0.0,0.0,0.0,0.0,0.0,0
1778211704.171,6066.843,0.0,0.0,0.0,0.0,0.0,0
1778211704.672,6067.345,0.0,0.0,0.0,0.0,0.0,0
1778211705.174,6067.846,0.0,0.0,0.0,0.0,0.0,0
1778211705.675,6068.347,0.0,0.0,0.0,0.0,0.0,0
1778211706.176,6068.849,0.0,0.0,0.0,0.0,0.0,0
1778211706.678,6069.350,0.0,0.0,0.0,0.0,0.0,0
1778211707.180,6069.852,0.0,0.0,0.0,0.0,0.0,0
1778211707.681,6070.353,0.0,0.0,0.0,0.0,0.0,0
1778211708.182,6070.855,0.0,0.0,0.0,0.0,0.0,0
1778211708.684,6071.356,0.0,0.0,0.0,0.0,0.0,0
1778211709.185,6071.857,0.0,0.0,0.0,0.0,0.0,0
1778211709.687,6072.359,0.0,0.0,0.0,0.0,0.0,0
1778211710.188,6072.861,0.0,0.0,0.0,0.0,0.0,0
1778211710.690,6073.362,0.0,0.0,0.0,0.0,0.0,0
1778211711.191,6073.863,0.0,0.0,0.0,0.0,0.0,0
1778211711.693,6074.365,0.0,0.0,0.0,0.0,0.0,0
1778211712.194,6074.866,0.0,0.0,0.0,0.0,0.0,0
1778211712.695,6075.368,0.0,0.0,0.0,0.0,0.0,0
1778211713.197,6075.869,0.0,0.0,0.0,0.0,0.0,0
1778211713.698,6076.370,0.0,0.0,0.0,0.0,0.0,0
1778211714.200,6076.872,0.0,0.0,0.0,0.0,0.0,0
1778211714.701,6077.373,0.0,0.0,0.0,0.0,0.0,0
