time_unix,monotonic,target_heading_rad,heading_error_rad,source_angle_deg,source_angle_error_deg
1778621427.780,11724.789,0.0,0.0,0.0,0.0
1778621428.282,11725.291,0.0,0.0,0.0,0.0
1778621428.783,11725.792,0.0,0.0,0.0,0.0
1778621429.285,11726.294,0.0,0.0,0.0,0.0
1778621429.786,11726.795,0.0,0.0,0.0,0.0
1778621430.288,11727.297,0.0,0.0,0.0,0.0
1778621430.789,11727.798,0.0,0.0,0.0,0.0
1778621431.291,11728.300,0.0,0.0,0.0,0.0
1778621431.792,11728.801,0.0,0.0,0.0,0.0
1778621432.243,11729.253,0.0,0.0,0.0,0.0
1778621432.745,11729.754,0.0,0.0,0.0,0.0
1778621433.246,11730.255,0.0,0.0,0.0,0.0
1778621433.748,11730.757,0.0,0.0,0.0,0.0
1778621434.249,11731.258,0.0,0.0,0.0,0.0
1778621434.751,11731.760,0.0,0.0,0.0,0.0
1778621435.252,11732.261,0.0,0.0,0.0,0.0
1778621435.754,11732.763,0.0,0.0,0.0,0.0
1778621436.255,11733.264,0.0,0.0,0.0,0.0
1778621436.756,11733.766,0.0,0.0,0.0,0.0
1778621437.258,11734.267,0.0,0.0,0.0,0.0
1778621437.759,11734.768,0.0,0.0,0.0,0.0
1778621438.261,11735.270,0.0,0.0,0.0,0.0
1778621438.762,11735.771,0.0,0.0,0.0,0.0
1778621439.264,11736.273,0.0,0.0,0.0,0.0
1778621439.765,11736.774,0.0,0.0,0.0,0.0
1778621440.267,11737.276,0.0,0.0,0.0,0.0
1778621440.768,11737.777,0.0,0.0,0.0,0.0
1778621441.269,11738.279,0.0,0.0,0.0,0.0
1778621441.771,11738.780,0.0,0.0,0.0,0.0
1778621442.272,11739.281,0.0,0.0,0.0,0.0
1778621442.774,11739.783,0.0,0.0,0.0,0.0
1778621443.275,11740.284,0.0,0.0,0.0,0.0
1778621443.777,11740.786,0.0,0.0,0.0,0.0
1778621444.278,11741.287,0.0,0.0,0.0,0.0
1778621444.780,11741.789,0.0,0.0,0.0,0.0
1778621445.281,11742.290,0.0,0.0,0.0,0.0
1778621445.783,11742.792,0.0,0.0,0.0,0.0
1778621446.284,11743.293,0.0,0.0,0.0,0.0
1778621446.786,11743.795,0.0,0.0,0.0,0.0
1778621447.287,11744.296,0.0,0.0,0.0,0.0
1778621447.789,11744.798,0.0,0.0,0.0,0.0
1778621448.290,11745.299,0.0,0.0,0.0,0.0
1778621448.792,11745.801,0.0,0.0,0.0,0.0
1778621449.293,11746.302,0.0,0.0,0.0,0.0
1778621449.744,11746.754,0.0,0.0,0.0,0.0
1778621450.246,11747.255,0.0,0.0,0.0,0.0
1778621450.747,11747.756,0.0,0.0,0.0,0.0
1778621451.249,11748.258,0.0,0.0,0.0,0.0
1778621451.750,11748.759,0.0,0.0,0.0,0.0
1778621452.252,11749.261,0.0,0.0,0.0,0.0
1778621452.753,11749.762,0.0,0.0,0.0,0.0
1778621453.255,11750.264,0.0,0.0,0.0,0.0
1778621453.756,11750.765,0.0,0.0,0.0,0.0
1778621454.258,11751.267,0.0,0.0,0.0,0.0
1778621454.759,11751.768,0.0,0.0,0.0,0.0
1778621455.260,11752.270,0.0,0.0,0.0,0.0
1778621455.762,11752.771,0.0,0.0,0.0,0.0
1778621456.263,11753.272,0.0,0.0,0.0,0.0
1778621456.765,11753.774,0.0,0.0,0.0,0.0
1778621457.266,11754.275,0.0,0.0,0.0,0.0
1778621457.768,11754.777,0.0,0.0,0.0,0.0
1778621458.269,11755.278,0.0,0.0,0.0,0.0
1778621458.771,11755.780,0.0,0.0,0.0,0.0
1778621459.272,11756.281,0.0,0.0,0.0,0.0
1778621459.774,11756.783,0.0,0.0,0.0,0.0
1778621460.275,11757.284,0.0,0.0,0.0,0.0
