time_unix,monotonic,data_rate,tx_power,channel
1778621431.943,11728.952,0,0,0
1778621436.957,11733.966,0,0,0
1778621441.971,11738.981,0,0,0
1778621446.936,11743.945,0,0,0
1778621451.951,11748.960,0,0,0
1778621456.965,11753.974,0,0,0
1778621461.980,11758.989,0,0,0
1778621466.944,11763.954,0,0,0
1778621471.959,11768.968,0,0,0
1778621476.974,11773.984,0,0,0
1778621481.939,11778.948,0,0,0
1778621486.954,11783.963,0,0,0
1778621491.972,11788.981,0,0,0
1778621496.938,11793.947,0,0,0
1778621501.953,11798.962,0,0,0
1778621506.968,11803.977,0,0,0
1778621511.985,11808.994,0,0,0
1778621516.950,11813.959,0,0,0
1778621521.965,11818.974,0,0,0
1778621526.981,11823.990,0,0,0
1778621531.948,11828.957,0,0,0
1778621536.963,11833.972,0,0,0
1778621541.978,11838.987,0,0,0
