time_unix,monotonic,channel_0,channel_1,channel_2,channel_3
1778621427.530,11724.539,0.0,0.0,0.0,0.0
1778621428.031,11725.040,0.0,0.0,0.0,0.0
1778621428.533,11725.542,0.0,0.0,0.0,0.0
1778621429.034,11726.043,0.0,0.0,0.0,0.0
1778621429.535,11726.544,0.0,0.0,0.0,0.0
1778621430.037,11727.046,0.0,0.0,0.0,0.0
1778621430.538,11727.547,0.0,0.0,0.0,0.0
1778621431.040,11728.049,0.0,0.0,0.0,0.0
1778621431.541,11728.550,0.0,0.0,0.0,0.0
1778621432.043,11729.052,0.0,0.0,0.0,0.0
1778621432.544,11729.553,0.0,0.0,0.0,0.0
1778621433.046,11730.055,0.0,0.0,0.0,0.0
1778621433.547,11730.556,0.0,0.0,0.0,0.0
1778621434.049,11731.058,0.0,0.0,0.0,0.0
1778621434.550,11731.559,0.0,0.0,0.0,0.0
1778621435.052,11732.061,0.0,0.0,0.0,0.0
1778621435.553,11732.562,0.0,0.0,0.0,0.0
1778621436.054,11733.063,0.0,0.0,0.0,0.0
1778621436.556,11733.565,0.0,0.0,0.0,0.0
1778621437.057,11734.066,0.0,0.0,0.0,0.0
1778621437.559,11734.568,0.0,0.0,0.0,0.0
1778621438.060,11735.069,0.0,0.0,0.0,0.0
1778621438.562,11735.571,0.0,0.0,0.0,0.0
1778621439.013,11736.022,0.0,0.0,0.0,0.0
1778621439.514,11736.523,0.0,0.0,0.0,0.0
1778621440.016,11737.025,0.0,0.0,0.0,0.0
1778621440.517,11737.526,0.0,0.0,0.0,0.0
1778621441.019,11738.028,0.0,0.0,0.0,0.0
1778621441.520,11738.529,0.0,0.0,0.0,0.0
1778621442.022,11739.031,0.0,0.0,0.0,0.0
1778621442.523,11739.532,0.0,0.0,0.0,0.0
1778621443.025,11740.034,0.0,0.0,0.0,0.0
1778621443.526,11740.535,0.0,0.0,0.0,0.0
1778621444.028,11741.037,0.0,0.0,0.0,0.0
1778621444.529,11741.538,0.0,0.0,0.0,0.0
1778621445.031,11742.040,0.0,0.0,0.0,0.0
1778621445.532,11742.541,0.0,0.0,0.0,0.0
1778621446.033,11743.043,0.0,0.0,0.0,0.0
1778621446.535,11743.544,0.0,0.0,0.0,0.0
1778621447.036,11744.045,0.0,0.0,0.0,0.0
1778621447.538,11744.547,0.0,0.0,0.0,0.0
1778621448.039,11745.048,0.0,0.0,0.0,0.0
1778621448.541,11745.550,0.0,0.0,0.0,0.0
1778621449.042,11746.051,0.0,0.0,0.0,0.0
1778621449.544,11746.553,0.0,0.0,0.0,0.0
1778621450.045,11747.054,0.0,0.0,0.0,0.0
1778621450.547,11747.556,0.0,0.0,0.0,0.0
1778621451.048,11748.057,0.0,0.0,0.0,0.0
1778621451.550,11748.559,0.0,0.0,0.0,0.0
1778621452.051,11749.060,0.0,0.0,0.0,0.0
1778621452.553,11749.562,0.0,0.0,0.0,0.0
1778621453.054,11750.063,0.0,0.0,0.0,0.0
1778621453.556,11750.565,0.0,0.0,0.0,0.0
1778621454.057,11751.066,0.0,0.0,0.0,0.0
1778621454.558,11751.567,0.0,0.0,0.0,0.0
1778621455.060,11752.069,0.0,0.0,0.0,0.0
1778621455.561,11752.570,0.0,0.0,0.0,0.0
1778621456.013,11753.022,0.0,0.0,0.0,0.0
1778621456.514,11753.523,0.0,0.0,0.0,0.0
1778621457.015,11754.025,0.0,0.0,0.0,0.0
1778621457.517,11754.526,0.0,0.0,0.0,0.0
1778621458.018,11755.027,0.0,0.0,0.0,0.0
1778621458.520,11755.529,0.0,0.0,0.0,0.0
1778621459.022,11756.031,0.0,0.0,0.0,0.0
1778621459.523,11756.532,0.0,0.0,0.0,0.0
1778621460.024,11757.034,0.0,0.0,0.0,0.0
1778621460.526,11757.535,0.0,0.0,0.0,0.0
1778621461.027,11758.037,0.0,0.0,0.0,0.0
1778621461.529,11758.538,0.0,0.0,0.0,0.0
1778621462.030,11759.039,0.0,0.0,0.0,0.0
1778621462.532,11759.541,0.0,0.0,0.0,0.0
