time_unix,monotonic,voltage_24v,current_24v,voltage_12v,current_12v,voltage_5v,current_5v
1778608208.564,3956.362,0.0,0.0,0.0,0.0,0.0,0.0
1778608209.567,3957.365,0.0,0.0,0.0,0.0,0.0,0.0
1778608210.570,3958.368,0.0,0.0,0.0,0.0,0.0,0.0
1778608211.573,3959.371,0.0,0.0,0.0,0.0,0.0,0.0
1778608212.576,3960.374,0.0,0.0,0.0,0.0,0.0,0.0
1778608213.579,3961.377,0.0,0.0,0.0,0.0,0.0,0.0
1778608214.582,3962.380,0.0,0.0,0.0,0.0,0.0,0.0
1778608215.584,3963.383,0.0,0.0,0.0,0.0,0.0,0.0
1778608216.587,3964.386,0.0,0.0,0.0,0.0,0.0,0.0
1778608217.591,3965.389,0.0,0.0,0.0,0.0,0.0,0.0
1778608218.594,3966.392,0.0,0.0,0.0,0.0,0.0,0.0
1778608219.596,3967.395,0.0,0.0,0.0,0.0,0.0,0.0
1778608220.600,3968.398,0.0,0.0,0.0,0.0,0.0,0.0
1778608221.603,3969.401,0.0,0.0,0.0,0.0,0.0,0.0
1778608222.606,3970.405,0.0,0.0,0.0,0.0,0.0,0.0
1778608223.559,3971.358,0.0,0.0,0.0,0.0,0.0,0.0
1778608224.562,3972.361,0.0,0.0,0.0,0.0,0.0,0.0
1778608225.565,3973.364,0.0,0.0,0.0,0.0,0.0,0.0
1778608226.568,3974.367,0.0,0.0,0.0,0.0,0.0,0.0
1778608227.571,3975.370,0.0,0.0,0.0,0.0,0.0,0.0
1778608228.574,3976.373,0.0,0.0,0.0,0.0,0.0,0.0
1778608229.577,3977.376,0.0,0.0,0.0,0.0,0.0,0.0
1778608230.580,3978.378,0.0,0.0,0.0,0.0,0.0,0.0
1778608231.583,3979.381,0.0,0.0,0.0,0.0,0.0,0.0
1778608232.586,3980.384,0.0,0.0,0.0,0.0,0.0,0.0
1778608233.589,3981.387,0.0,0.0,0.0,0.0,0.0,0.0
1778608234.592,3982.390,0.0,0.0,0.0,0.0,0.0,0.0
1778608235.595,3983.393,0.0,0.0,0.0,0.0,0.0,0.0
