time_unix,monotonic,rpm,duty_cycle,motor_current,input_voltage,temperature,fault_code
1778608208.564,3956.362,0.0,0.0,0.0,0.0,0.0,0
1778608209.065,3956.864,0.0,0.0,0.0,0.0,0.0,0
1778608209.567,3957.365,0.0,0.0,0.0,0.0,0.0,0
1778608210.068,3957.867,0.0,0.0,0.0,0.0,0.0,0
1778608210.570,3958.368,0.0,0.0,0.0,0.0,0.0,0
1778608211.071,3958.870,0.0,0.0,0.0,0.0,0.0,0
1778608211.573,3959.371,0.0,0.0,0.0,0.0,0.0,0
1778608212.074,3959.873,0.0,0.0,0.0,0.0,0.0,0
1778608212.576,3960.374,0.0,0.0,0.0,0.0,0.0,0
1778608213.077,3960.876,0.0,0.0,0.0,0.0,0.0,0
1778608213.579,3961.377,0.0,0.0,0.0,0.0,0.0,0
1778608214.080,3961.879,0.0,0.0,0.0,0.0,0.0,0
1778608214.582,3962.380,0.0,0.0,0.0,0.0,0.0,0
1778608215.083,3962.882,0.0,0.0,0.0,0.0,0.0,0
1778608215.584,3963.383,0.0,0.0,0.0,0.0,0.0,0
1778608216.086,3963.884,0.0,0.0,0.0,0.0,0.0,0
1778608216.587,3964.386,0.0,0.0,0.0,0.0,0.0,0
1778608217.089,3964.887,0.0,0.0,0.0,0.0,0.0,0
1778608217.591,3965.389,0.0,0.0,0.0,0.0,0.0,0
1778608218.092,3965.891,0.0,0.0,0.0,0.0,0.0,0
1778608218.594,3966.392,0.0,0.0,0.0,0.0,0.0,0
1778608219.095,3966.894,0.0,0.0,0.0,0.0,0.0,0
1778608219.596,3967.395,0.0,0.0,0.0,0.0,0.0,0
1778608220.098,3967.896,0.0,0.0,0.0,0.0,0.0,0
1778608220.600,3968.398,0.0,0.0,0.0,0.0,0.0,0
1778608221.101,3968.900,0.0,0.0,0.0,0.0,0.0,0
1778608221.603,3969.401,0.0,0.0,0.0,0.0,0.0,0
1778608222.105,3969.903,0.0,0.0,0.0,0.0,0.0,0
1778608222.606,3970.405,0.0,0.0,0.0,0.0,0.0,0
1778608223.058,3970.856,0.0,0.0,0.0,0.0,0.0,0
1778608223.559,3971.358,0.0,0.0,0.0,0.0,0.0,0
1778608224.061,3971.859,0.0,0.0,0.0,0.0,0.0,0
