time_unix,monotonic,data_rate,tx_power,channel
1778608213.027,3960.826,2,2,0
1778608218.042,3965.840,2,2,0
1778608223.058,3970.856,2,2,0
1778608228.023,3975.821,2,2,0
1778608233.037,3980.836,2,2,0
1778608238.052,3985.850,2,2,0
1778608243.067,3990.865,2,2,0
1778608248.031,3995.830,2,2,0
1778608253.046,4000.845,2,2,0
1778608258.062,4005.860,2,2,0
1778608263.026,4010.825,2,2,0
1778608268.042,4015.840,2,2,0
1778608273.056,4020.855,2,2,0
1778608278.021,4025.820,2,2,0
1778608283.036,4030.835,2,2,0
1778608288.051,4035.850,2,2,0
1778608293.066,4040.865,2,2,0
1778608298.035,4045.834,2,2,0
1778608303.052,4050.850,2,2,0
1778608308.066,4055.865,2,2,0
1778608313.031,4060.829,2,2,0
1778608318.045,4065.844,2,2,0
1778608323.060,4070.858,2,2,0
1778608328.024,4075.823,2,2,0
1778608333.039,4080.838,2,2,0
1778608338.054,4085.853,2,2,0
1778608343.019,4090.817,2,2,0
1778608348.034,4095.832,2,2,0
1778608353.048,4100.846,2,2,0
1778608358.062,4105.861,2,2,0
1778608363.027,4110.825,2,2,0
1778608368.042,4115.841,2,2,0
1778608373.057,4120.855,2,2,0
1778608378.022,4125.820,2,2,0
1778608383.036,4130.835,2,2,0
1778608388.051,4135.849,2,2,0
1778608393.067,4140.865,2,2,0
1778608398.031,4145.830,2,2,0
1778608403.046,4150.845,2,2,0
1778608408.061,4155.860,2,2,0
1778608413.026,4160.824,2,2,0
1778608418.041,4165.839,2,2,0
1778608423.056,4170.855,2,2,0
1778608428.021,4175.820,2,2,0
1778608433.036,4180.835,2,2,0
1778608438.051,4185.850,2,2,0
1778608443.066,4190.864,2,2,0
1778608448.031,4195.829,2,2,0
1778608453.046,4200.844,2,2,0
1778608458.060,4205.859,2,2,0
1778608463.025,4210.824,2,2,0
1778608468.040,4215.839,2,2,0
1778608473.055,4220.853,2,2,0
1778608478.020,4225.818,2,2,0
1778608483.035,4230.833,2,2,0
1778608488.050,4235.848,2,2,0
1778608493.065,4240.864,2,2,0
1778608498.030,4245.828,2,2,0
1778608503.045,4250.843,2,2,0
1778608508.061,4255.860,2,2,0
1778608513.026,4260.824,2,2,0
1778608518.041,4265.840,2,2,0
1778608523.061,4270.859,2,2,0
1778608528.031,4275.830,2,2,0
1778608533.048,4280.846,2,2,0
1778608538.064,4285.862,2,2,0
1778608543.029,4290.827,2,2,0
1778608548.044,4295.843,2,2,0
1778608553.059,4300.858,2,2,0
1778608558.025,4305.823,2,2,0
1778608563.041,4310.840,2,2,0
1778608568.055,4315.854,2,2,0
1778608573.022,4320.820,2,2,0
1778608578.037,4325.836,2,2,0
1778608583.051,4330.850,2,2,0
1778608588.068,4335.866,2,2,0
1778608593.032,4340.830,2,2,0
1778608598.048,4345.847,2,2,0
1778608603.062,4350.861,2,2,0
1778608608.028,4355.827,2,2,0
1778608613.044,4360.843,2,2,0
1778608618.057,4365.856,2,2,0
1778608623.024,4370.822,2,2,0
1778608628.041,4375.840,2,2,0
1778608633.055,4380.854,2,2,0
1778608638.021,4385.819,2,2,0
1778608643.037,4390.835,2,2,0
1778608648.051,4395.849,2,2,0
1778608653.067,4400.866,2,2,0
1778608658.033,4405.832,2,2,0
1778608663.048,4410.847,2,2,0
1778608668.063,4415.861,2,2,0
1778608673.029,4420.827,2,2,0
1778608678.044,4425.842,2,2,0
1778608683.060,4430.858,2,2,0
1778608688.025,4435.824,2,2,0
1778608693.043,4440.841,2,2,0
1778608698.057,4445.855,2,2,0
1778608703.022,4450.820,2,2,0
1778608708.037,4455.835,2,2,0
1778608713.051,4460.850,2,2,0
1778608718.068,4465.866,2,2,0
1778608723.034,4470.832,2,2,0
1778608728.048,4475.847,2,2,0
1778608733.064,4480.863,2,2,0
1778608738.030,4485.829,2,2,0
1778608743.047,4490.846,2,2,0
1778608748.061,4495.859,2,2,0
1778608753.026,4500.824,2,2,0
1778608758.043,4505.841,2,2,0
1778608763.057,4510.855,2,2,0
1778608768.022,4515.821,2,2,0
1778608773.037,4520.836,2,2,0
1778608778.052,4525.851,2,2,0
1778608783.018,4530.817,2,2,0
1778608788.034,4535.833,2,2,0
1778608793.051,4540.849,2,2,0
1778608798.065,4545.864,2,2,0
1778608803.030,4550.829,2,2,0
1778608808.047,4555.845,2,2,0
1778608813.062,4560.860,2,2,0
1778608818.027,4565.826,2,2,0
1778608823.044,4570.843,2,2,0
1778608828.058,4575.857,2,2,0
1778608833.022,4580.820,2,2,0
1778608838.035,4585.834,2,2,0
1778608843.050,4590.849,2,2,0
1778608848.065,4595.863,2,2,0
1778608853.029,4600.828,2,2,0
1778608858.044,4605.842,2,2,0
1778608863.058,4610.857,2,2,0
1778608868.026,4615.824,2,2,0
1778608873.044,4620.843,2,2,0
1778608878.057,4625.856,2,2,0
1778608883.022,4630.820,2,2,0
1778608888.038,4635.837,2,2,0
1778608893.052,4640.851,2,2,0
1778608898.067,4645.865,2,2,0
1778608903.034,4650.833,2,2,0
1778608908.049,4655.848,2,2,0
1778608913.064,4660.862,2,2,0
1778608918.031,4665.830,2,2,0
1778608923.046,4670.844,2,2,0
1778608928.060,4675.859,2,2,0
1778608933.028,4680.826,2,2,0
1778608938.044,4685.843,2,2,0
1778608943.057,4690.855,2,2,0
1778608948.023,4695.821,2,2,0
1778608953.039,4700.838,2,2,0
1778608958.053,4705.852,2,2,0
1778608963.068,4710.867,2,2,0
1778608968.034,4715.833,2,2,0
1778608973.049,4720.847,2,2,0
1778608978.064,4725.863,2,2,0
1778608983.030,4730.828,2,2,0
1778608988.046,4735.845,2,2,0
1778608993.061,4740.860,2,2,0
1778608998.026,4745.825,2,2,0
1778609003.042,4750.841,2,2,0
1778609008.056,4755.855,2,2,0
1778609013.022,4760.821,2,2,0
1778609018.039,4765.838,2,2,0
1778609023.053,4770.851,2,2,0
1778609028.069,4775.867,2,2,0
1778609033.033,4780.832,2,2,0
1778609038.049,4785.848,2,2,0
1778609043.064,4790.863,2,2,0
1778609048.030,4795.828,2,2,0
1778609053.046,4800.844,2,2,0
1778609058.059,4805.858,2,2,0
1778609063.026,4810.824,2,2,0
