time_unix,monotonic,target_heading_rad,heading_error_rad,source_angle_deg,source_angle_error_deg
1778258823.010,771.966,0.0,0.0,0.0,0.0
1778258823.511,772.467,0.0,0.0,0.0,0.0
1778258824.013,772.969,0.0,0.0,0.0,0.0
1778258824.514,773.470,0.0,0.0,0.0,0.0
1778258825.016,773.972,0.0,0.0,0.0,0.0
1778258825.517,774.473,0.0,0.0,0.0,0.0
1778258826.019,774.975,0.0,0.0,0.0,0.0
1778258826.520,775.476,0.0,0.0,0.0,0.0
1778258827.022,775.978,0.0,0.0,0.0,0.0
1778258827.523,776.479,0.0,0.0,0.0,0.0
1778258828.025,776.981,0.0,0.0,0.0,0.0
1778258828.526,777.482,0.0,0.0,0.0,0.0
1778258829.028,777.984,0.0,0.0,0.0,0.0
1778258829.529,778.485,0.0,0.0,0.0,0.0
1778258830.031,778.987,0.0,0.0,0.0,0.0
1778258830.532,779.488,0.0,0.0,0.0,0.0
1778258831.034,779.990,0.0,0.0,0.0,0.0
1778258831.535,780.491,0.0,0.0,0.0,0.0
1778258832.036,780.992,0.0,0.0,0.0,0.0
1778258832.538,781.494,0.0,0.0,0.0,0.0
1778258833.039,781.995,0.0,0.0,0.0,0.0
1778258833.541,782.497,0.0,0.0,0.0,0.0
1778258834.042,782.998,0.0,0.0,0.0,0.0
1778258834.544,783.500,0.0,0.0,0.0,0.0
1778258835.046,784.002,0.0,0.0,0.0,0.0
1778258835.547,784.503,0.0,0.0,0.0,0.0
1778258836.049,785.005,0.0,0.0,0.0,0.0
1778258836.551,785.507,0.0,0.0,0.0,0.0
1778258837.052,786.008,0.0,0.0,0.0,0.0
1778258837.554,786.510,0.0,0.0,0.0,0.0
1778258838.005,786.961,0.0,0.0,0.0,0.0
1778258838.507,787.463,0.0,0.0,0.0,0.0
1778258839.009,787.965,0.0,0.0,0.0,0.0
1778258839.511,788.467,0.0,0.0,0.0,0.0
1778258840.012,788.968,0.0,0.0,0.0,0.0
