time_unix,monotonic,target_heading_rad,heading_error_rad,source_angle_deg,source_angle_error_deg
1778607085.449,2833.247,0.0,0.0,0.0,0.0
1778607085.950,2833.749,0.0,0.0,0.0,0.0
1778607086.452,2834.250,0.0,0.0,0.0,0.0
1778607086.953,2834.752,0.0,0.0,0.0,0.0
1778607087.454,2835.253,0.0,0.0,0.0,0.0
1778607087.956,2835.754,0.0,0.0,0.0,0.0
1778607088.457,2836.256,0.0,0.0,0.0,0.0
1778607088.959,2836.757,0.0,0.0,0.0,0.0
1778607089.460,2837.259,0.0,0.0,0.0,0.0
1778607089.962,2837.760,0.0,0.0,0.0,0.0
1778607090.463,2838.262,0.0,0.0,0.0,0.0
1778607090.965,2838.763,0.0,0.0,0.0,0.0
1778607091.466,2839.265,0.0,0.0,0.0,0.0
1778607091.968,2839.767,0.0,0.0,0.0,0.0
1778607092.470,2840.269,0.0,0.0,0.0,0.0
1778607092.972,2840.770,0.0,0.0,0.0,0.0
1778607093.473,2841.272,0.0,0.0,0.0,0.0
1778607093.975,2841.774,0.0,0.0,0.0,0.0
1778607094.477,2842.276,0.0,0.0,0.0,0.0
1778607094.979,2842.777,0.0,0.0,0.0,0.0
1778607095.480,2843.279,0.0,0.0,0.0,0.0
1778607095.982,2843.781,0.0,0.0,0.0,0.0
1778607096.484,2844.282,0.0,0.0,0.0,0.0
1778607096.986,2844.784,0.0,0.0,0.0,0.0
1778607097.487,2845.286,0.0,0.0,0.0,0.0
