time_unix,monotonic,data_rate,tx_power,channel
1778616623.386,6920.395,2,2,0
1778616628.401,6925.410,2,2,0
1778616633.416,6930.425,2,2,0
1778616638.381,6935.390,2,2,0
1778616643.396,6940.405,2,2,0
1778616648.411,6945.420,2,2,0
1778616653.375,6950.384,2,2,0
1778616658.390,6955.399,2,2,0
1778616663.405,6960.414,2,2,0
1778616668.420,6965.429,2,2,0
1778616673.385,6970.394,2,2,0
1778616678.400,6975.409,2,2,0
1778616683.415,6980.424,2,2,0
1778616688.380,6985.389,2,2,0
1778616693.395,6990.404,2,2,0
1778616698.410,6995.419,2,2,0
1778616703.375,7000.384,2,2,0
1778616708.390,7005.399,2,2,0
1778616713.405,7010.414,2,2,0
1778616718.420,7015.429,2,2,0
1778616723.384,7020.393,2,2,0
1778616728.399,7025.408,2,2,0
1778616733.414,7030.423,2,2,0
1778616738.379,7035.388,2,2,0
1778616743.394,7040.403,2,2,0
1778616748.409,7045.418,2,2,0
1778616753.374,7050.383,2,2,0
1778616758.390,7055.399,2,2,0
1778616763.405,7060.414,2,2,0
1778616768.420,7065.429,2,2,0
1778616773.385,7070.394,2,2,0
1778616778.399,7075.409,2,2,0
1778616783.415,7080.424,2,2,0
1778616788.381,7085.390,2,2,0
1778616793.396,7090.405,2,2,0
1778616798.411,7095.420,2,2,0
1778616803.376,7100.385,2,2,0
1778616808.391,7105.400,2,2,0
1778616813.406,7110.415,2,2,0
1778616818.421,7115.430,2,2,0
1778616823.386,7120.395,2,2,0
1778616828.401,7125.410,2,2,0
1778616833.416,7130.425,2,2,0
1778616838.381,7135.390,2,2,0
1778616843.396,7140.405,2,2,0
1778616848.411,7145.420,2,2,0
1778616853.376,7150.386,2,2,0
1778616858.392,7155.401,2,2,0
1778616863.407,7160.416,2,2,0
1778616868.422,7165.431,2,2,0
1778616873.387,7170.396,2,2,0
1778616878.403,7175.412,2,2,0
1778616883.418,7180.427,2,2,0
1778616888.383,7185.392,2,2,0
1778616893.398,7190.407,2,2,0
1778616898.413,7195.422,2,2,0
1778616903.378,7200.387,2,2,0
1778616908.394,7205.403,2,2,0
1778616913.408,7210.418,2,2,0
1778616918.424,7215.433,2,2,0
1778616923.389,7220.398,2,2,0
1778616928.404,7225.413,2,2,0
1778616933.418,7230.427,2,2,0
1778616938.383,7235.393,2,2,0
1778616943.399,7240.408,2,2,0
1778616948.414,7245.423,2,2,0
1778616953.379,7250.388,2,2,0
1778616958.394,7255.403,2,2,0
1778616963.409,7260.418,2,2,0
1778616968.374,7265.383,2,2,0
1778616973.390,7270.399,2,2,0
1778616978.405,7275.414,2,2,0
1778616983.420,7280.429,2,2,0
1778616988.385,7285.394,2,2,0
1778616993.400,7290.409,2,2,0
1778616998.415,7295.424,2,2,0
1778617003.380,7300.389,2,2,0
1778617008.395,7305.404,2,2,0
1778617013.410,7310.419,2,2,0
1778617018.375,7315.384,2,2,0
1778617023.391,7320.400,2,2,0
1778617028.406,7325.415,2,2,0
1778617033.422,7330.431,2,2,0
1778617038.387,7335.396,2,2,0
1778617043.402,7340.411,2,2,0
1778617048.417,7345.426,2,2,0
1778617053.382,7350.391,2,2,0
1778617058.396,7355.406,2,2,0
1778617063.412,7360.421,2,2,0
1778617068.378,7365.387,2,2,0
1778617073.393,7370.402,2,2,0
1778617078.408,7375.417,2,2,0
1778617083.423,7380.432,2,2,0
1778617088.388,7385.397,2,2,0
1778617093.403,7390.412,2,2,0
1778617098.418,7395.428,2,2,0
1778617103.383,7400.392,2,2,0
1778617108.398,7405.407,2,2,0
1778617113.414,7410.423,2,2,0
1778617118.379,7415.388,2,2,0
1778617123.398,7420.407,2,2,0
1778617128.413,7425.422,2,2,0
1778617133.378,7430.387,2,2,0
1778617138.393,7435.402,2,2,0
1778617143.408,7440.417,2,2,0
1778617148.423,7445.432,2,2,0
1778617153.388,7450.397,2,2,0
1778617158.403,7455.412,2,2,0
1778617163.419,7460.428,2,2,0
1778617168.384,7465.393,2,2,0
1778617173.399,7470.408,2,2,0
1778617178.414,7475.423,2,2,0
1778617183.379,7480.388,2,2,0
1778617188.394,7485.403,2,2,0
1778617193.409,7490.418,2,2,0
1778617198.374,7495.383,2,2,0
1778617203.390,7500.399,2,2,0
1778617208.405,7505.414,2,2,0
1778617213.421,7510.430,2,2,0
1778617218.386,7515.395,2,2,0
1778617223.401,7520.410,2,2,0
1778617228.416,7525.425,2,2,0
1778617233.380,7530.390,2,2,0
1778617238.396,7535.405,2,2,0
1778617243.411,7540.420,2,2,0
1778617248.376,7545.385,2,2,0
1778617253.390,7550.400,2,2,0
1778617258.406,7555.415,2,2,0
1778617263.421,7560.430,2,2,0
1778617268.385,7565.395,2,2,0
1778617273.401,7570.410,2,2,0
1778617278.416,7575.425,2,2,0
1778617283.381,7580.390,2,2,0
1778617288.396,7585.405,2,2,0
1778617293.411,7590.420,2,2,0
1778617298.376,7595.386,2,2,0
1778617303.392,7600.401,2,2,0
1778617308.407,7605.416,2,2,0
1778617313.422,7610.431,2,2,0
