time_unix,monotonic,flight_stage,arm_state,preflight_ok,arm_checks_ok,launch_initiated,ascent_active,termination_fired,burst_detected,descent_active,landing_detected,cutdown_fired,recovery_active,data_logging_active,apogee_m
1778616619.123,6916.132,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616619.625,6916.634,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616620.126,6917.135,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616620.628,6917.637,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616621.129,6918.138,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616621.630,6918.639,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616622.132,6919.141,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616622.633,6919.643,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616623.135,6920.144,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616623.637,6920.646,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616624.138,6921.147,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616624.639,6921.648,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616625.141,6922.150,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616625.642,6922.651,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616626.144,6923.153,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616626.645,6923.654,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616627.147,6924.156,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616627.649,6924.658,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616628.150,6925.159,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616628.651,6925.660,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616629.154,6926.163,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616629.605,6926.614,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616630.107,6927.116,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616630.608,6927.617,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616631.109,6928.119,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616631.611,6928.620,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616632.112,6929.121,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616632.614,6929.623,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616633.115,6930.124,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616633.617,6930.626,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616634.118,6931.127,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616634.620,6931.629,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616635.121,6932.131,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616635.623,6932.632,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616636.124,6933.133,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616636.626,6933.635,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616637.127,6934.136,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778616637.629,6934.638,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
