time_unix,monotonic,channel_0,channel_1,channel_2,channel_3
1778620768.366,11065.375,0.0,0.0,0.0,0.0
1778620768.867,11065.876,0.0,0.0,0.0,0.0
1778620769.369,11066.378,0.0,0.0,0.0,0.0
1778620769.870,11066.879,0.0,0.0,0.0,0.0
1778620770.371,11067.381,0.0,0.0,0.0,0.0
1778620770.873,11067.882,0.0,0.0,0.0,0.0
1778620771.374,11068.383,0.0,0.0,0.0,0.0
1778620771.876,11068.885,0.0,0.0,0.0,0.0
1778620772.377,11069.386,0.0,0.0,0.0,0.0
1778620772.879,11069.888,0.0,0.0,0.0,0.0
1778620773.380,11070.389,0.0,0.0,0.0,0.0
1778620773.882,11070.891,0.0,0.0,0.0,0.0
1778620774.383,11071.392,0.0,0.0,0.0,0.0
1778620774.885,11071.894,0.0,0.0,0.0,0.0
1778620775.386,11072.395,0.0,0.0,0.0,0.0
1778620775.888,11072.897,0.0,0.0,0.0,0.0
1778620776.389,11073.398,0.0,0.0,0.0,0.0
1778620776.890,11073.900,0.0,0.0,0.0,0.0
1778620777.392,11074.401,0.0,0.0,0.0,0.0
1778620777.893,11074.902,0.0,0.0,0.0,0.0
1778620778.395,11075.404,0.0,0.0,0.0,0.0
1778620778.896,11075.905,0.0,0.0,0.0,0.0
1778620779.348,11076.357,0.0,0.0,0.0,0.0
1778620779.849,11076.858,0.0,0.0,0.0,0.0
1778620780.351,11077.360,0.0,0.0,0.0,0.0
1778620780.852,11077.861,0.0,0.0,0.0,0.0
1778620781.353,11078.362,0.0,0.0,0.0,0.0
1778620781.855,11078.864,0.0,0.0,0.0,0.0
1778620782.356,11079.365,0.0,0.0,0.0,0.0
1778620782.858,11079.867,0.0,0.0,0.0,0.0
1778620783.359,11080.368,0.0,0.0,0.0,0.0
1778620783.861,11080.870,0.0,0.0,0.0,0.0
1778620784.362,11081.371,0.0,0.0,0.0,0.0
1778620784.864,11081.873,0.0,0.0,0.0,0.0
1778620785.365,11082.374,0.0,0.0,0.0,0.0
1778620785.867,11082.876,0.0,0.0,0.0,0.0
1778620786.368,11083.377,0.0,0.0,0.0,0.0
1778620786.870,11083.879,0.0,0.0,0.0,0.0
1778620787.371,11084.380,0.0,0.0,0.0,0.0
1778620787.873,11084.882,0.0,0.0,0.0,0.0
1778620788.374,11085.383,0.0,0.0,0.0,0.0
1778620788.875,11085.884,0.0,0.0,0.0,0.0
1778620789.377,11086.386,0.0,0.0,0.0,0.0
1778620789.878,11086.887,0.0,0.0,0.0,0.0
1778620790.380,11087.389,0.0,0.0,0.0,0.0
1778620790.881,11087.890,0.0,0.0,0.0,0.0
1778620791.383,11088.392,0.0,0.0,0.0,0.0
1778620791.884,11088.893,0.0,0.0,0.0,0.0
1778620792.386,11089.395,0.0,0.0,0.0,0.0
1778620792.887,11089.896,0.0,0.0,0.0,0.0
1778620793.389,11090.398,0.0,0.0,0.0,0.0
1778620793.890,11090.899,0.0,0.0,0.0,0.0
1778620794.392,11091.401,0.0,0.0,0.0,0.0
1778620794.893,11091.902,0.0,0.0,0.0,0.0
1778620795.394,11092.403,0.0,0.0,0.0,0.0
1778620795.896,11092.905,0.0,0.0,0.0,0.0
1778620796.347,11093.356,0.0,0.0,0.0,0.0
1778620796.849,11093.858,0.0,0.0,0.0,0.0
1778620797.351,11094.360,0.0,0.0,0.0,0.0
1778620797.852,11094.861,0.0,0.0,0.0,0.0
1778620798.353,11095.363,0.0,0.0,0.0,0.0
1778620798.855,11095.864,0.0,0.0,0.0,0.0
1778620799.357,11096.366,0.0,0.0,0.0,0.0
1778620799.858,11096.867,0.0,0.0,0.0,0.0
1778620800.360,11097.369,0.0,0.0,0.0,0.0
1778620800.861,11097.870,0.0,0.0,0.0,0.0
1778620801.362,11098.371,0.0,0.0,0.0,0.0
1778620801.864,11098.873,0.0,0.0,0.0,0.0
1778620802.365,11099.374,0.0,0.0,0.0,0.0
1778620802.867,11099.876,0.0,0.0,0.0,0.0
1778620803.368,11100.378,0.0,0.0,0.0,0.0
1778620803.870,11100.879,0.0,0.0,0.0,0.0
1778620804.371,11101.381,0.0,0.0,0.0,0.0
1778620804.873,11101.882,0.0,0.0,0.0,0.0
1778620805.374,11102.383,0.0,0.0,0.0,0.0
1778620805.876,11102.885,0.0,0.0,0.0,0.0
1778620806.377,11103.386,0.0,0.0,0.0,0.0
1778620806.879,11103.888,0.0,0.0,0.0,0.0
1778620807.380,11104.389,0.0,0.0,0.0,0.0
1778620807.882,11104.891,0.0,0.0,0.0,0.0
1778620808.383,11105.392,0.0,0.0,0.0,0.0
1778620808.885,11105.894,0.0,0.0,0.0,0.0
1778620809.386,11106.395,0.0,0.0,0.0,0.0
1778620809.887,11106.897,0.0,0.0,0.0,0.0
1778620810.389,11107.398,0.0,0.0,0.0,0.0
1778620810.890,11107.899,0.0,0.0,0.0,0.0
1778620811.392,11108.401,0.0,0.0,0.0,0.0
1778620811.894,11108.903,0.0,0.0,0.0,0.0
1778620812.395,11109.404,0.0,0.0,0.0,0.0
1778620812.896,11109.906,0.0,0.0,0.0,0.0
1778620813.348,11110.357,0.0,0.0,0.0,0.0
1778620813.849,11110.858,0.0,0.0,0.0,0.0
1778620814.351,11111.360,0.0,0.0,0.0,0.0
1778620814.852,11111.861,0.0,0.0,0.0,0.0
1778620815.354,11112.363,0.0,0.0,0.0,0.0
1778620815.855,11112.864,0.0,0.0,0.0,0.0
1778620816.357,11113.366,0.0,0.0,0.0,0.0
1778620816.858,11113.868,0.0,0.0,0.0,0.0
1778620817.360,11114.369,0.0,0.0,0.0,0.0
1778620817.861,11114.870,0.0,0.0,0.0,0.0
1778620818.363,11115.372,0.0,0.0,0.0,0.0
1778620818.865,11115.874,0.0,0.0,0.0,0.0
1778620819.366,11116.375,0.0,0.0,0.0,0.0
1778620819.868,11116.877,0.0,0.0,0.0,0.0
1778620820.369,11117.378,0.0,0.0,0.0,0.0
1778620820.871,11117.880,0.0,0.0,0.0,0.0
1778620821.372,11118.381,0.0,0.0,0.0,0.0
1778620821.874,11118.883,0.0,0.0,0.0,0.0
1778620822.375,11119.384,0.0,0.0,0.0,0.0
1778620822.877,11119.886,0.0,0.0,0.0,0.0
1778620823.378,11120.387,0.0,0.0,0.0,0.0
1778620823.879,11120.889,0.0,0.0,0.0,0.0
1778620824.381,11121.390,0.0,0.0,0.0,0.0
1778620824.883,11121.892,0.0,0.0,0.0,0.0
1778620825.384,11122.393,0.0,0.0,0.0,0.0
1778620825.886,11122.895,0.0,0.0,0.0,0.0
1778620826.387,11123.396,0.0,0.0,0.0,0.0
1778620826.889,11123.898,0.0,0.0,0.0,0.0
1778620827.390,11124.399,0.0,0.0,0.0,0.0
1778620827.892,11124.901,0.0,0.0,0.0,0.0
1778620828.393,11125.402,0.0,0.0,0.0,0.0
1778620828.894,11125.903,0.0,0.0,0.0,0.0
1778620829.396,11126.405,0.0,0.0,0.0,0.0
1778620829.847,11126.856,0.0,0.0,0.0,0.0
1778620830.349,11127.358,0.0,0.0,0.0,0.0
1778620830.850,11127.859,0.0,0.0,0.0,0.0
1778620831.351,11128.361,0.0,0.0,0.0,0.0
1778620831.853,11128.862,0.0,0.0,0.0,0.0
1778620832.354,11129.363,0.0,0.0,0.0,0.0
1778620832.856,11129.865,0.0,0.0,0.0,0.0
1778620833.357,11130.366,0.0,0.0,0.0,0.0
1778620833.859,11130.868,0.0,0.0,0.0,0.0
1778620834.360,11131.369,0.0,0.0,0.0,0.0
1778620834.861,11131.871,0.0,0.0,0.0,0.0
1778620835.363,11132.372,0.0,0.0,0.0,0.0
1778620835.864,11132.873,0.0,0.0,0.0,0.0
1778620836.366,11133.375,0.0,0.0,0.0,0.0
1778620836.867,11133.876,0.0,0.0,0.0,0.0
1778620837.369,11134.378,0.0,0.0,0.0,0.0
1778620837.870,11134.879,0.0,0.0,0.0,0.0
1778620838.372,11135.381,0.0,0.0,0.0,0.0
1778620838.873,11135.882,0.0,0.0,0.0,0.0
1778620839.375,11136.384,0.0,0.0,0.0,0.0
1778620839.876,11136.885,0.0,0.0,0.0,0.0
1778620840.378,11137.387,0.0,0.0,0.0,0.0
1778620840.879,11137.888,0.0,0.0,0.0,0.0
1778620841.381,11138.390,0.0,0.0,0.0,0.0
1778620841.882,11138.891,0.0,0.0,0.0,0.0
1778620842.383,11139.392,0.0,0.0,0.0,0.0
1778620842.885,11139.894,0.0,0.0,0.0,0.0
1778620843.386,11140.395,0.0,0.0,0.0,0.0
1778620843.888,11140.897,0.0,0.0,0.0,0.0
1778620844.389,11141.399,0.0,0.0,0.0,0.0
1778620844.891,11141.900,0.0,0.0,0.0,0.0
1778620845.392,11142.401,0.0,0.0,0.0,0.0
1778620845.894,11142.903,0.0,0.0,0.0,0.0
1778620846.395,11143.404,0.0,0.0,0.0,0.0
1778620846.897,11143.906,0.0,0.0,0.0,0.0
1778620847.348,11144.357,0.0,0.0,0.0,0.0
1778620847.849,11144.859,0.0,0.0,0.0,0.0
1778620848.351,11145.360,0.0,0.0,0.0,0.0
1778620848.853,11145.862,0.0,0.0,0.0,0.0
1778620849.354,11146.363,0.0,0.0,0.0,0.0
1778620849.855,11146.864,0.0,0.0,0.0,0.0
1778620850.357,11147.366,0.0,0.0,0.0,0.0
1778620850.858,11147.867,0.0,0.0,0.0,0.0
1778620851.360,11148.369,0.0,0.0,0.0,0.0
