time_unix,monotonic,lat,lon,alt,relative_alt,hdg,num_sv
1778620768.717,11065.726,0.0,0.0,0.0,0.0,0.0,0
1778620769.720,11066.729,0.0,0.0,0.0,0.0,0.0,0
1778620770.723,11067.732,0.0,0.0,0.0,0.0,0.0,0
1778620771.725,11068.734,0.0,0.0,0.0,0.0,0.0,0
1778620772.728,11069.737,0.0,0.0,0.0,0.0,0.0,0
1778620773.731,11070.740,0.0,0.0,0.0,0.0,0.0,0
1778620774.734,11071.743,0.0,0.0,0.0,0.0,0.0,0
1778620775.737,11072.746,0.0,0.0,0.0,0.0,0.0,0
1778620776.740,11073.749,0.0,0.0,0.0,0.0,0.0,0
1778620777.743,11074.752,0.0,0.0,0.0,0.0,0.0,0
1778620778.696,11075.705,0.0,0.0,0.0,0.0,0.0,0
1778620779.699,11076.708,0.0,0.0,0.0,0.0,0.0,0
1778620780.702,11077.711,0.0,0.0,0.0,0.0,0.0,0
1778620781.704,11078.713,0.0,0.0,0.0,0.0,0.0,0
1778620782.707,11079.716,0.0,0.0,0.0,0.0,0.0,0
1778620783.710,11080.719,0.0,0.0,0.0,0.0,0.0,0
1778620784.713,11081.722,0.0,0.0,0.0,0.0,0.0,0
1778620785.716,11082.725,0.0,0.0,0.0,0.0,0.0,0
1778620786.719,11083.728,0.0,0.0,0.0,0.0,0.0,0
1778620787.722,11084.731,0.0,0.0,0.0,0.0,0.0,0
1778620788.725,11085.734,0.0,0.0,0.0,0.0,0.0,0
1778620789.728,11086.737,0.0,0.0,0.0,0.0,0.0,0
1778620790.731,11087.740,0.0,0.0,0.0,0.0,0.0,0
1778620791.734,11088.743,0.0,0.0,0.0,0.0,0.0,0
1778620792.737,11089.746,0.0,0.0,0.0,0.0,0.0,0
1778620793.740,11090.749,0.0,0.0,0.0,0.0,0.0,0
1778620794.743,11091.752,0.0,0.0,0.0,0.0,0.0,0
1778620795.695,11092.704,0.0,0.0,0.0,0.0,0.0,0
1778620796.698,11093.707,0.0,0.0,0.0,0.0,0.0,0
1778620797.702,11094.711,0.0,0.0,0.0,0.0,0.0,0
1778620798.705,11095.714,0.0,0.0,0.0,0.0,0.0,0
1778620799.708,11096.717,0.0,0.0,0.0,0.0,0.0,0
1778620800.710,11097.720,0.0,0.0,0.0,0.0,0.0,0
1778620801.714,11098.723,0.0,0.0,0.0,0.0,0.0,0
1778620802.717,11099.726,0.0,0.0,0.0,0.0,0.0,0
1778620803.720,11100.729,0.0,0.0,0.0,0.0,0.0,0
1778620804.722,11101.732,0.0,0.0,0.0,0.0,0.0,0
1778620805.725,11102.734,0.0,0.0,0.0,0.0,0.0,0
1778620806.728,11103.737,0.0,0.0,0.0,0.0,0.0,0
1778620807.731,11104.740,0.0,0.0,0.0,0.0,0.0,0
1778620808.734,11105.743,0.0,0.0,0.0,0.0,0.0,0
1778620809.737,11106.746,0.0,0.0,0.0,0.0,0.0,0
1778620810.740,11107.749,0.0,0.0,0.0,0.0,0.0,0
1778620811.743,11108.752,0.0,0.0,0.0,0.0,0.0,0
1778620812.696,11109.705,0.0,0.0,0.0,0.0,0.0,0
1778620813.699,11110.708,0.0,0.0,0.0,0.0,0.0,0
1778620814.702,11111.711,0.0,0.0,0.0,0.0,0.0,0
