time_unix,monotonic,voltage_24v,current_24v,voltage_12v,current_12v,voltage_5v,current_5v
1778207215.340,1578.012,22.472000122070312,0.47600001096725464,12.440000534057617,-0.004000000189989805,5.368000030517578,0.9399999976158142
1778207216.344,1579.016,22.464000701904297,0.484000027179718,12.416000366210938,-0.004000000189989805,5.28000020980835,1.444000005722046
1778207217.347,1580.019,22.472000122070312,0.3319999873638153,12.408000946044922,0.0,5.368000030517578,0.8920000195503235
1778207218.350,1581.022,22.464000701904297,0.47999998927116394,12.40000057220459,-0.004000000189989805,5.368000030517578,0.8999999761581421
1778207219.353,1582.025,22.48000144958496,0.3400000035762787,12.456000328063965,-0.004000000189989805,5.360000133514404,0.9039999842643738
1778207220.357,1583.029,22.472000122070312,0.47200003266334534,12.408000946044922,-0.004000000189989805,5.28000020980835,1.375999927520752
1778207221.360,1584.033,22.48000144958496,0.31200000643730164,12.40000057220459,-0.004000000189989805,5.2960004806518555,0.8759999871253967
1778207222.363,1585.035,22.472000122070312,0.41200003027915955,12.44800090789795,-0.004000000189989805,5.28000020980835,1.312000036239624
1778207223.366,1586.038,22.472000122070312,0.3319999873638153,12.40000057220459,-0.004000000189989805,5.368000030517578,0.9039999842643738
1778207224.369,1587.041,22.464000701904297,0.484000027179718,12.44800090789795,-0.004000000189989805,5.368000030517578,1.2000000476837158
1778207225.371,1588.044,22.472000122070312,0.3400000035762787,12.416000366210938,-0.004000000189989805,5.368000030517578,0.9239999651908875
1778207226.374,1589.046,22.464000701904297,0.46799999475479126,12.40000057220459,-0.004000000189989805,5.28000020980835,0.9039999842643738
1778207227.377,1590.049,22.472000122070312,0.3680000305175781,12.440000534057617,-0.004000000189989805,5.368000030517578,0.9720000624656677
1778207228.380,1591.052,22.472000122070312,0.3240000009536743,12.408000946044922,-0.004000000189989805,5.368000030517578,0.9239999651908875
1778207229.382,1592.054,22.472000122070312,0.3240000009536743,12.40000057220459,-0.004000000189989805,5.368000030517578,1.0920000076293945
1778207230.335,1593.007,22.472000122070312,0.3240000009536743,12.440000534057617,-0.004000000189989805,5.368000030517578,0.8960000276565552
1778207231.338,1594.010,22.472000122070312,0.41200003027915955,12.408000946044922,-0.004000000189989805,5.368000030517578,0.9200000166893005
1778207232.341,1595.013,22.472000122070312,0.30799999833106995,12.44800090789795,-0.004000000189989805,5.360000133514404,0.8840000629425049
1778207233.343,1596.016,22.472000122070312,0.335999995470047,12.44800090789795,-0.004000000189989805,5.368000030517578,0.9440000653266907
1778207234.346,1597.018,22.472000122070312,0.35199999809265137,12.408000946044922,-0.004000000189989805,5.368000030517578,0.9200000166893005
1778207235.349,1598.021,22.472000122070312,0.3479999899864197,12.40000057220459,-0.004000000189989805,5.368000030517578,0.9359999895095825
1778207236.352,1599.024,22.472000122070312,0.3240000009536743,12.44800090789795,-0.00800000037997961,5.360000133514404,0.8880000114440918
1778207237.355,1600.028,22.472000122070312,0.3160000145435333,12.408000946044922,-0.004000000189989805,5.360000133514404,0.8720000386238098
1778207238.358,1601.031,22.472000122070312,0.3319999873638153,12.40000057220459,-0.004000000189989805,5.368000030517578,0.9160000085830688
1778207239.361,1602.033,22.472000122070312,0.328000009059906,12.42400074005127,-0.004000000189989805,5.37600040435791,0.9320000410079956
1778207240.364,1603.036,22.472000122070312,0.335999995470047,12.408000946044922,-0.004000000189989805,5.368000030517578,0.9239999651908875
1778207241.366,1604.039,22.472000122070312,0.47600001096725464,12.440000534057617,-0.004000000189989805,5.28000020980835,1.4079999923706055
1778207242.369,1605.041,22.472000122070312,0.31200000643730164,12.408000946044922,-0.004000000189989805,5.28000020980835,0.968000054359436
1778207243.372,1606.044,22.464000701904297,0.335999995470047,12.456000328063965,-0.004000000189989805,5.312000274658203,1.3840000629425049
1778207244.375,1607.047,22.472000122070312,0.335999995470047,12.440000534057617,-0.004000000189989805,5.28000020980835,1.4040000438690186
1778207245.378,1608.050,22.472000122070312,0.3319999873638153,12.42400074005127,-0.004000000189989805,5.368000030517578,0.9320000410079956
1778207246.380,1609.053,22.472000122070312,0.31200000643730164,12.408000946044922,0.0,5.28000020980835,1.3240000009536743
1778207247.383,1610.056,22.472000122070312,0.31200000643730164,12.440000534057617,-0.004000000189989805,5.360000133514404,0.8720000386238098
1778207248.336,1611.008,22.464000701904297,0.3400000035762787,12.440000534057617,-0.004000000189989805,5.368000030517578,0.9080000519752502
1778207249.339,1612.011,22.464000701904297,0.47200003266334534,12.432000160217285,-0.004000000189989805,5.368000030517578,0.9080000519752502
1778207250.342,1613.014,22.472000122070312,0.328000009059906,12.408000946044922,-0.004000000189989805,5.272000312805176,0.8920000195503235
1778207251.345,1614.017,22.472000122070312,0.3400000035762787,12.440000534057617,-0.004000000189989805,5.28000020980835,1.3919999599456787
1778207252.348,1615.020,22.472000122070312,0.31200000643730164,12.408000946044922,-0.004000000189989805,5.28000020980835,1.375999927520752
1778207253.351,1616.023,22.464000701904297,0.47200003266334534,12.440000534057617,-0.004000000189989805,5.368000030517578,1.1040000915527344
1778207254.355,1617.027,22.472000122070312,0.3400000035762787,12.40000057220459,-0.004000000189989805,5.368000030517578,0.9200000166893005
1778207255.358,1618.030,22.464000701904297,0.47600001096725464,12.408000946044922,-0.004000000189989805,5.28000020980835,0.9440000653266907
1778207256.361,1619.033,22.472000122070312,0.3160000145435333,12.440000534057617,-0.004000000189989805,5.368000030517578,0.8920000195503235
