time_unix,monotonic,active,lat,lon,alt_msl,speed_ms,heading_deg,fix_type,num_sv
1778620479.926,10776.935,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620480.879,10777.888,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620481.882,10778.891,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620482.885,10779.894,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620483.888,10780.897,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620484.891,10781.900,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620485.894,10782.903,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620486.897,10783.906,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620487.900,10784.909,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620488.903,10785.912,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620489.906,10786.915,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620490.909,10787.918,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620491.912,10788.921,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620492.915,10789.924,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620493.917,10790.926,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620494.920,10791.929,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620495.923,10792.932,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620496.926,10793.935,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620497.879,10794.888,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620498.882,10795.891,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620499.885,10796.894,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620500.888,10797.897,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620501.891,10798.900,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620502.894,10799.903,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620503.897,10800.906,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620504.899,10801.908,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620505.902,10802.911,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620506.905,10803.914,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620507.908,10804.917,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620508.911,10805.920,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620509.914,10806.923,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620510.917,10807.926,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620511.920,10808.929,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620512.923,10809.932,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620513.926,10810.935,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620514.879,10811.888,1,0.0,0.0,-17.0,0.0,0.0,0,0
1778620515.882,10812.891,1,0.0,0.0,-17.0,0.0,0.0,0,0
