time_unix,monotonic,data_rate,tx_power,channel
1778620484.039,10781.048,0,0,0
1778620489.053,10786.062,0,0,0
1778620494.068,10791.077,0,0,0
1778620499.032,10796.041,0,0,0
1778620504.047,10801.056,0,0,0
1778620509.061,10806.071,0,0,0
1778620514.076,10811.085,0,0,0
1778620519.041,10816.050,0,0,0
1778620524.055,10821.064,0,0,0
1778620529.070,10826.079,0,0,0
1778620534.034,10831.043,0,0,0
1778620539.049,10836.058,0,0,0
1778620544.063,10841.072,0,0,0
1778620549.078,10846.087,0,0,0
1778620554.043,10851.052,0,0,0
1778620559.058,10856.067,0,0,0
1778620564.073,10861.082,0,0,0
1778620569.038,10866.047,0,0,0
1778620574.053,10871.062,0,0,0
