time_unix,monotonic,voltage_24v,current_24v,voltage_12v,current_12v,voltage_5v,current_5v
1778615823.835,6120.844,0.0,0.0,0.0,0.0,0.0,0.0
1778615824.838,6121.847,0.0,0.0,0.0,0.0,0.0,0.0
1778615825.841,6122.850,0.0,0.0,0.0,0.0,0.0,0.0
1778615826.844,6123.853,0.0,0.0,0.0,0.0,0.0,0.0
1778615827.847,6124.856,0.0,0.0,0.0,0.0,0.0,0.0
1778615828.850,6125.859,0.0,0.0,0.0,0.0,0.0,0.0
1778615829.853,6126.862,0.0,0.0,0.0,0.0,0.0,0.0
1778615830.856,6127.865,0.0,0.0,0.0,0.0,0.0,0.0
1778615831.859,6128.868,0.0,0.0,0.0,0.0,0.0,0.0
1778615832.862,6129.871,0.0,0.0,0.0,0.0,0.0,0.0
1778615833.865,6130.874,0.0,0.0,0.0,0.0,0.0,0.0
1778615834.868,6131.877,0.0,0.0,0.0,0.0,0.0,0.0
1778615835.871,6132.880,0.0,0.0,0.0,0.0,0.0,0.0
1778615836.874,6133.883,0.0,0.0,0.0,0.0,0.0,0.0
1778615837.877,6134.886,0.0,0.0,0.0,0.0,0.0,0.0
1778615838.830,6135.839,0.0,0.0,0.0,0.0,0.0,0.0
1778615839.833,6136.842,0.0,0.0,0.0,0.0,0.0,0.0
1778615840.836,6137.845,0.0,0.0,0.0,0.0,0.0,0.0
1778615841.839,6138.848,0.0,0.0,0.0,0.0,0.0,0.0
1778615842.842,6139.851,0.0,0.0,0.0,0.0,0.0,0.0
1778615843.845,6140.855,0.0,0.0,0.0,0.0,0.0,0.0
1778615844.848,6141.857,0.0,0.0,0.0,0.0,0.0,0.0
1778615845.851,6142.860,0.0,0.0,0.0,0.0,0.0,0.0
1778615846.854,6143.863,0.0,0.0,0.0,0.0,0.0,0.0
1778615847.857,6144.866,0.0,0.0,0.0,0.0,0.0,0.0
1778615848.860,6145.869,0.0,0.0,0.0,0.0,0.0,0.0
1778615849.863,6146.872,0.0,0.0,0.0,0.0,0.0,0.0
1778615850.866,6147.875,0.0,0.0,0.0,0.0,0.0,0.0
1778615851.869,6148.878,0.0,0.0,0.0,0.0,0.0,0.0
1778615852.872,6149.881,0.0,0.0,0.0,0.0,0.0,0.0
1778615853.875,6150.884,0.0,0.0,0.0,0.0,0.0,0.0
1778615854.878,6151.887,0.0,0.0,0.0,0.0,0.0,0.0
1778615855.831,6152.840,0.0,0.0,0.0,0.0,0.0,0.0
1778615856.834,6153.843,0.0,0.0,0.0,0.0,0.0,0.0
1778615857.837,6154.846,0.0,0.0,0.0,0.0,0.0,0.0
1778615858.840,6155.849,0.0,0.0,0.0,0.0,0.0,0.0
1778615859.843,6156.852,0.0,0.0,0.0,0.0,0.0,0.0
1778615860.846,6157.855,0.0,0.0,0.0,0.0,0.0,0.0
1778615861.849,6158.858,0.0,0.0,0.0,0.0,0.0,0.0
1778615862.852,6159.861,0.0,0.0,0.0,0.0,0.0,0.0
1778615863.855,6160.864,0.0,0.0,0.0,0.0,0.0,0.0
1778615864.857,6161.867,0.0,0.0,0.0,0.0,0.0,0.0
1778615865.860,6162.870,0.0,0.0,0.0,0.0,0.0,0.0
1778615866.864,6163.873,0.0,0.0,0.0,0.0,0.0,0.0
1778615867.867,6164.876,0.0,0.0,0.0,0.0,0.0,0.0
1778615868.870,6165.879,0.0,0.0,0.0,0.0,0.0,0.0
1778615869.873,6166.882,0.0,0.0,0.0,0.0,0.0,0.0
1778615870.875,6167.884,0.0,0.0,0.0,0.0,0.0,0.0
1778615871.878,6168.887,0.0,0.0,0.0,0.0,0.0,0.0
1778615872.831,6169.840,0.0,0.0,0.0,0.0,0.0,0.0
