time_unix,monotonic,channel_0,channel_1,channel_2,channel_3
1778608166.754,3914.552,0.0,0.0,0.0,0.0
1778608167.255,3915.054,0.0,0.0,0.0,0.0
1778608167.757,3915.555,0.0,0.0,0.0,0.0
1778608168.258,3916.057,0.0,0.0,0.0,0.0
1778608168.760,3916.558,0.0,0.0,0.0,0.0
1778608169.261,3917.060,0.0,0.0,0.0,0.0
1778608169.763,3917.561,0.0,0.0,0.0,0.0
1778608170.264,3918.063,0.0,0.0,0.0,0.0
1778608170.766,3918.564,0.0,0.0,0.0,0.0
1778608171.267,3919.066,0.0,0.0,0.0,0.0
1778608171.769,3919.567,0.0,0.0,0.0,0.0
1778608172.270,3920.069,0.0,0.0,0.0,0.0
1778608172.772,3920.570,0.0,0.0,0.0,0.0
1778608173.273,3921.072,0.0,0.0,0.0,0.0
1778608173.775,3921.573,0.0,0.0,0.0,0.0
1778608174.276,3922.075,0.0,0.0,0.0,0.0
1778608174.778,3922.576,0.0,0.0,0.0,0.0
1778608175.279,3923.078,0.0,0.0,0.0,0.0
1778608175.780,3923.579,0.0,0.0,0.0,0.0
1778608176.282,3924.081,0.0,0.0,0.0,0.0
1778608176.734,3924.533,0.0,0.0,0.0,0.0
1778608177.235,3925.034,0.0,0.0,0.0,0.0
1778608177.737,3925.535,0.0,0.0,0.0,0.0
1778608178.238,3926.037,0.0,0.0,0.0,0.0
1778608178.740,3926.538,0.0,0.0,0.0,0.0
1778608179.241,3927.040,0.0,0.0,0.0,0.0
1778608179.743,3927.541,0.0,0.0,0.0,0.0
1778608180.244,3928.043,0.0,0.0,0.0,0.0
1778608180.746,3928.545,0.0,0.0,0.0,0.0
