time_unix,monotonic,lat,lon,alt,relative_alt,hdg,num_sv
1778608167.105,3914.903,0.0,0.0,0.0,0.0,0.0,0
1778608168.108,3915.907,0.0,0.0,0.0,0.0,0.0,0
1778608169.111,3916.909,0.0,0.0,0.0,0.0,0.0,0
1778608170.114,3917.912,0.0,0.0,0.0,0.0,0.0,0
1778608171.117,3918.915,0.0,0.0,0.0,0.0,0.0,0
1778608172.120,3919.918,0.0,0.0,0.0,0.0,0.0,0
1778608173.123,3920.921,0.0,0.0,0.0,0.0,0.0,0
1778608174.126,3921.924,0.0,0.0,0.0,0.0,0.0,0
1778608175.129,3922.927,0.0,0.0,0.0,0.0,0.0,0
1778608176.082,3923.880,0.0,0.0,0.0,0.0,0.0,0
1778608177.085,3924.884,0.0,0.0,0.0,0.0,0.0,0
1778608178.088,3925.886,0.0,0.0,0.0,0.0,0.0,0
1778608179.091,3926.890,0.0,0.0,0.0,0.0,0.0,0
1778608180.094,3927.892,0.0,0.0,0.0,0.0,0.0,0
1778608181.097,3928.896,0.0,0.0,0.0,0.0,0.0,0
