time_unix,monotonic,lat,lon,alt,relative_alt,hdg,num_sv
1778621090.165,11387.175,0.0,0.0,0.0,0.0,0.0,0
1778621091.168,11388.178,0.0,0.0,0.0,0.0,0.0,0
1778621092.172,11389.181,0.0,0.0,0.0,0.0,0.0,0
1778621093.175,11390.184,0.0,0.0,0.0,0.0,0.0,0
1778621094.178,11391.187,0.0,0.0,0.0,0.0,0.0,0
1778621095.181,11392.190,0.0,0.0,0.0,0.0,0.0,0
1778621096.184,11393.193,0.0,0.0,0.0,0.0,0.0,0
1778621097.187,11394.196,0.0,0.0,0.0,0.0,0.0,0
1778621098.190,11395.199,0.0,0.0,0.0,0.0,0.0,0
1778621099.143,11396.152,0.0,0.0,0.0,0.0,0.0,0
1778621100.147,11397.156,0.0,0.0,0.0,0.0,0.0,0
1778621101.150,11398.159,0.0,0.0,0.0,0.0,0.0,0
1778621102.153,11399.162,0.0,0.0,0.0,0.0,0.0,0
1778621103.156,11400.165,0.0,0.0,0.0,0.0,0.0,0
1778621104.159,11401.168,0.0,0.0,0.0,0.0,0.0,0
1778621105.162,11402.171,0.0,0.0,0.0,0.0,0.0,0
1778621106.165,11403.174,0.0,0.0,0.0,0.0,0.0,0
1778621107.168,11404.177,0.0,0.0,0.0,0.0,0.0,0
1778621108.171,11405.180,0.0,0.0,0.0,0.0,0.0,0
1778621109.174,11406.183,0.0,0.0,0.0,0.0,0.0,0
1778621110.176,11407.186,0.0,0.0,0.0,0.0,0.0,0
1778621111.180,11408.189,0.0,0.0,0.0,0.0,0.0,0
1778621112.183,11409.192,0.0,0.0,0.0,0.0,0.0,0
1778621113.186,11410.195,0.0,0.0,0.0,0.0,0.0,0
1778621114.189,11411.198,0.0,0.0,0.0,0.0,0.0,0
