time_unix,monotonic,data_rate,tx_power,channel
1778621277.675,11574.684,0,0,0
1778621282.690,11579.699,0,0,0
1778621287.705,11584.714,0,0,0
1778621292.719,11589.728,0,0,0
1778621297.684,11594.693,0,0,0
1778621302.698,11599.707,0,0,0
1778621307.713,11604.722,0,0,0
1778621312.677,11609.686,0,0,0
1778621317.692,11614.701,0,0,0
1778621322.706,11619.716,0,0,0
1778621327.671,11624.680,0,0,0
1778621332.685,11629.695,0,0,0
1778621337.700,11634.710,0,0,0
1778621342.716,11639.725,0,0,0
1778621347.682,11644.691,0,0,0
1778621352.697,11649.707,0,0,0
1778621357.712,11654.721,0,0,0
1778621362.677,11659.686,0,0,0
1778621367.692,11664.701,0,0,0
1778621372.707,11669.716,0,0,0
1778621377.673,11674.682,0,0,0
1778621382.688,11679.697,0,0,0
1778621387.704,11684.713,0,0,0
1778621392.719,11689.728,0,0,0
1778621397.684,11694.693,0,0,0
1778621402.700,11699.709,0,0,0
1778621407.715,11704.724,0,0,0
1778621412.679,11709.689,0,0,0
