time_unix,monotonic,flight_stage,arm_state,preflight_ok,arm_checks_ok,launch_initiated,ascent_active,termination_fired,burst_detected,descent_active,landing_detected,cutdown_fired,recovery_active,data_logging_active,apogee_m
1778614787.957,5084.967,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614788.459,5085.468,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614788.960,5085.969,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614789.462,5086.471,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614789.963,5086.972,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614790.465,5087.474,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614790.966,5087.975,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614791.468,5088.477,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614791.969,5088.978,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614792.471,5089.480,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614792.972,5089.981,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614793.473,5090.483,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614793.975,5090.984,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614794.476,5091.485,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614794.978,5091.987,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614795.479,5092.488,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614795.981,5092.990,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614796.482,5093.491,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614796.984,5093.993,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614797.485,5094.494,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614797.987,5094.996,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614798.488,5095.497,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614798.990,5095.999,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614799.491,5096.500,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614799.992,5097.002,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614800.444,5097.453,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614800.945,5097.954,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614801.447,5098.456,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614801.948,5098.958,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614802.450,5099.459,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614802.951,5099.960,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614803.453,5100.462,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614803.954,5100.963,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614804.456,5101.465,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614804.958,5101.967,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614805.459,5102.468,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614805.961,5102.970,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614806.462,5103.472,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614806.964,5103.973,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614807.465,5104.475,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614807.967,5104.976,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614808.468,5105.477,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614808.970,5105.979,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614809.471,5106.480,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614809.973,5106.982,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614810.474,5107.483,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614810.976,5107.985,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614811.477,5108.486,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614811.979,5108.988,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614812.480,5109.489,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614812.982,5109.991,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614813.483,5110.492,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614813.985,5110.994,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614814.486,5111.495,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614814.988,5111.997,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614815.489,5112.498,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614815.991,5113.000,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614816.492,5113.501,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614816.993,5114.003,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614817.445,5114.454,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614817.946,5114.955,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614818.448,5115.457,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614818.949,5115.958,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614819.451,5116.460,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614819.952,5116.961,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614820.454,5117.463,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614820.955,5117.964,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614821.457,5118.466,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614821.958,5118.967,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614822.460,5119.469,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614822.961,5119.970,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614823.463,5120.472,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614823.964,5120.973,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614824.466,5121.475,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614824.967,5121.976,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614825.469,5122.478,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614825.970,5122.979,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614826.472,5123.481,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614826.973,5123.982,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614827.474,5124.484,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614827.976,5124.985,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614828.477,5125.486,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614828.979,5125.988,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614829.480,5126.489,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614829.982,5126.991,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614830.483,5127.492,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614830.985,5127.994,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614831.486,5128.495,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614831.988,5128.997,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614832.489,5129.498,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614832.991,5130.000,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614833.492,5130.501,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614833.994,5131.003,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614834.445,5131.454,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614834.946,5131.955,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614835.448,5132.457,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614835.950,5132.959,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614836.451,5133.460,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614836.952,5133.961,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614837.454,5134.463,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614837.955,5134.964,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778614838.457,5135.466,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
