time_unix,monotonic,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
1778616065.280,6362.289,0.0,0.0,0.0,0.0,0.0,0.0
1778616065.531,6362.540,0.0,0.0,0.0,0.0,0.0,0.0
1778616065.781,6362.791,0.0,0.0,0.0,0.0,0.0,0.0
1778616066.032,6363.041,0.0,0.0,0.0,0.0,0.0,0.0
1778616066.283,6363.292,0.0,0.0,0.0,0.0,0.0,0.0
1778616066.534,6363.543,0.0,0.0,0.0,0.0,0.0,0.0
1778616066.784,6363.793,0.0,0.0,0.0,0.0,0.0,0.0
1778616067.035,6364.044,0.0,0.0,0.0,0.0,0.0,0.0
1778616067.286,6364.295,0.0,0.0,0.0,0.0,0.0,0.0
1778616067.537,6364.546,0.0,0.0,0.0,0.0,0.0,0.0
1778616067.787,6364.797,0.0,0.0,0.0,0.0,0.0,0.0
1778616068.038,6365.047,0.0,0.0,0.0,0.0,0.0,0.0
1778616068.239,6365.248,0.0,0.0,0.0,0.0,0.0,0.0
1778616068.490,6365.499,0.0,0.0,0.0,0.0,0.0,0.0
1778616068.740,6365.749,0.0,0.0,0.0,0.0,0.0,0.0
1778616068.991,6366.000,0.0,0.0,0.0,0.0,0.0,0.0
1778616069.242,6366.251,0.0,0.0,0.0,0.0,0.0,0.0
1778616069.492,6366.502,0.0,0.0,0.0,0.0,0.0,0.0
1778616069.743,6366.752,0.0,0.0,0.0,0.0,0.0,0.0
1778616069.994,6367.003,0.0,0.0,0.0,0.0,0.0,0.0
1778616070.245,6367.254,0.0,0.0,0.0,0.0,0.0,0.0
1778616070.495,6367.504,0.0,0.0,0.0,0.0,0.0,0.0
1778616070.746,6367.755,0.0,0.0,0.0,0.0,0.0,0.0
1778616070.997,6368.006,0.0,0.0,0.0,0.0,0.0,0.0
1778616071.248,6368.257,0.0,0.0,0.0,0.0,0.0,0.0
1778616071.498,6368.507,0.0,0.0,0.0,0.0,0.0,0.0
1778616071.749,6368.758,0.0,0.0,0.0,0.0,0.0,0.0
1778616072.000,6369.009,0.0,0.0,0.0,0.0,0.0,0.0
1778616072.251,6369.260,0.0,0.0,0.0,0.0,0.0,0.0
1778616072.501,6369.510,0.0,0.0,0.0,0.0,0.0,0.0
1778616072.752,6369.761,0.0,0.0,0.0,0.0,0.0,0.0
1778616073.003,6370.012,0.0,0.0,0.0,0.0,0.0,0.0
1778616073.254,6370.263,0.0,0.0,0.0,0.0,0.0,0.0
1778616073.504,6370.513,0.0,0.0,0.0,0.0,0.0,0.0
1778616073.755,6370.764,0.0,0.0,0.0,0.0,0.0,0.0
1778616074.006,6371.015,0.0,0.0,0.0,0.0,0.0,0.0
1778616074.257,6371.266,0.0,0.0,0.0,0.0,0.0,0.0
1778616074.507,6371.516,0.0,0.0,0.0,0.0,0.0,0.0
1778616074.758,6371.767,0.0,0.0,0.0,0.0,0.0,0.0
1778616075.009,6372.018,0.0,0.0,0.0,0.0,0.0,0.0
1778616075.260,6372.269,0.0,0.0,0.0,0.0,0.0,0.0
1778616075.511,6372.520,0.0,0.0,0.0,0.0,0.0,0.0
1778616075.762,6372.771,0.0,0.0,0.0,0.0,0.0,0.0
1778616076.013,6373.022,0.0,0.0,0.0,0.0,0.0,0.0
1778616076.264,6373.273,0.0,0.0,0.0,0.0,0.0,0.0
1778616076.515,6373.524,0.0,0.0,0.0,0.0,0.0,0.0
1778616076.766,6373.775,0.0,0.0,0.0,0.0,0.0,0.0
1778616077.017,6374.026,0.0,0.0,0.0,0.0,0.0,0.0
1778616077.267,6374.277,0.0,0.0,0.0,0.0,0.0,0.0
1778616077.518,6374.528,0.0,0.0,0.0,0.0,0.0,0.0
1778616077.769,6374.778,0.0,0.0,0.0,0.0,0.0,0.0
1778616078.020,6375.029,0.0,0.0,0.0,0.0,0.0,0.0
1778616078.271,6375.280,0.0,0.0,0.0,0.0,0.0,0.0
1778616078.521,6375.530,0.0,0.0,0.0,0.0,0.0,0.0
1778616078.772,6375.781,0.0,0.0,0.0,0.0,0.0,0.0
