time_unix,monotonic,flight_stage,arm_state,preflight_ok,arm_checks_ok,launch_initiated,ascent_active,termination_fired,burst_detected,descent_active,landing_detected,cutdown_fired,recovery_active,data_logging_active,apogee_m
1778211237.890,5600.562,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
1778211238.391,5601.063,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778211238.843,5601.515,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778211239.345,5602.017,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778211239.846,5602.518,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778211240.348,5603.020,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778211240.849,5603.521,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778211241.350,5604.023,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778211241.852,5604.524,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778211242.354,5605.026,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778211242.855,5605.528,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778211243.357,5606.029,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778211243.859,5606.531,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778211244.360,5607.032,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778211244.862,5607.534,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778211245.363,5608.035,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778211245.864,5608.536,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778211246.366,5609.038,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778211246.868,5609.540,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
1778211247.369,5610.042,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0
