time_unix,monotonic,time_unix,uptime_s,cpu_load_pct,mem_used_pct,tasks_running,pixhawk_connected,vesc_connected,power_connected,photodiode_connected,pps_synced,pps_rms_us
1778211237.489,5600.161,1778211237.4818707,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1778211237.739,5600.411,1778211237.7326128,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1778211237.990,5600.662,1778211237.9833255,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1778211238.241,5600.913,1778211238.2340639,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1778211238.492,5601.164,1778211238.4847443,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1778211238.742,5601.414,1778211238.7354188,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1778211238.993,5601.665,1778211238.9861727,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1778211239.245,5601.917,1778211239.236878,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1778211239.495,5602.167,1778211239.4875424,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1778211239.746,5602.418,1778211239.7382624,4.040266040000461,29.296875,6.134183577238128,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778211239.997,5602.669,1778211239.9889467,4.040266040000461,29.296875,6.134183577238128,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778211240.247,5602.920,1778211240.2396605,4.040266040000461,29.296875,6.134183577238128,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778211240.498,5603.170,1778211240.490563,4.040266040000461,29.296875,6.134183577238128,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778211240.749,5603.421,1778211240.7412658,4.040266040000461,29.296875,6.134183577238128,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778211240.999,5603.672,1778211240.9919398,4.040266040000461,29.296875,6.134183577238128,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778211241.250,5603.922,1778211241.2427762,4.040266040000461,29.296875,6.134183577238128,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778211241.501,5604.173,1778211241.4934227,4.040266040000461,29.296875,6.134183577238128,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778211241.752,5604.424,1778211241.7441423,6.065222623999944,29.296875,6.134133547195086,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778211242.003,5604.675,1778211241.9948056,6.065222623999944,29.296875,6.134133547195086,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778211242.254,5604.926,1778211242.2455075,6.065222623999944,29.296875,6.134133547195086,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778211242.504,5605.177,1778211242.4961684,6.065222623999944,29.296875,6.134133547195086,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778211242.755,5605.427,1778211242.7468767,6.065222623999944,29.296875,6.134133547195086,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778211243.006,5605.678,1778211242.9976356,6.065222623999944,29.296875,6.134133547195086,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778211243.256,5605.929,1778211243.2483175,6.065222623999944,29.296875,6.134133547195086,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778211243.507,5606.179,1778211243.4989645,6.065222623999944,29.296875,6.134133547195086,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778211243.758,5606.430,1778211243.7496166,8.08867273099986,26.904296875,6.133983457065972,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778211244.009,5606.681,1778211244.000288,8.08867273099986,26.904296875,6.133983457065972,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778211244.260,5606.932,1778211244.251021,8.08867273099986,26.904296875,6.133983457065972,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778211244.511,5607.183,1778211244.5017428,8.08867273099986,26.904296875,6.133983457065972,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778211244.761,5607.434,1778211244.752613,8.08867273099986,26.904296875,6.133983457065972,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778211245.012,5607.684,1778211245.003335,8.08867273099986,26.904296875,6.133983457065972,12.0,1.0,1.0,0.0,0.0,0.0,0.0
1778211245.263,5607.935,1778211245.2544813,8.08867273099986,26.904296875,6.133983457065972,12.0,1.0,1.0,0.0,0.0,0.0,0.0
